env_package	store_cond	count
	96% ethanol and Frozen	1
	99% Ethanol	1
	Alcohol	1
	Baikal_NSS01_NSC187_02	1
	Baikal_NSS02_NSC188_03	1
	Baikal_NSS04_NSC190_07	1
	Baikal_NSS13_NSC199_19	1
	Baikal_NSS05_NSC191_08	1
	Baikal_NSS06_NSC192_09	1
	Baikal_NSS08_NSC194_11	1
	Baikal_NSS09_NSC195_12	1
	Baikal_NSS10_NSC196_14	1
	Baikal_NSS11_NSC197_15	1
	Baikal_NSS12_NSC198_17	1
	Inoculated with PA-13; inoculum stored at -20C, no preservative; recipient soil 1	1
	Inoculated with PA-13; inoculum stored at -20C, no preservative; recipient soil 2	1
	Inoculated with PA-13; inoculum stored at -80C, no preservative; recipient soil 1	1
	Inoculated with PA-51; inoculum preserved in DMSO at -20C; recipient soil 1	1
	Inoculated with PA-48; inoculum preserved in glycerol at -20C; recipient soil 2	1
	Inoculated with PA-48; inoculum preserved in glycerol at -80C; recipient soil 1	1
	Inoculated with PA-48; inoculum preserved in glycerol at -80C; recipient soil 2	1
	Inoculated with PA-48; inoculum stored at -20C, no preservative; recipient soil 1	1
	Inoculated with PA-48; inoculum stored at -20C, no preservative; recipient soil 2	1
	Inoculated with PA-48; inoculum stored at -80C, no preservative; recipient soil 1	1
	Inoculated with PA-48; inoculum stored at -80C, no preservative; recipient soil 2	1
	Inoculated with PA-51; inoculum preserved in DMSO at -20C; recipient soil 2	1
	Inoculated with PA-48; inoculum preserved in DMSO at -80C; recipient soil 2	1
	Inoculated with PA-51; inoculum preserved in DMSO at -80C; recipient soil 1	1
	Inoculated with PA-51; inoculum preserved in DMSO at -80C; recipient soil 2	1
	Inoculated with PA-51; inoculum preserved in glycerol at -20C; recipient soil 1	1
	Inoculated with PA-51; inoculum preserved in glycerol at -20C; recipient soil 2	1
	Inoculated with PA-51; inoculum preserved in glycerol at -80C; recipient soil 1	1
	Inoculated with PA-51; inoculum preserved in glycerol at -80C; recipient soil 2	1
	Inoculated with PA-51; inoculum stored at -20C, no preservative; recipient soil 1	1
	Inoculated with PA-48; inoculum preserved in glycerol at -20C; recipient soil 1	1
	Inoculated with PA-48; inoculum preserved in DMSO at -80C; recipient soil 1	1
	Inoculated with PA-51; inoculum stored at -80C, no preservative; recipient soil 1	1
	Inoculated with PA-39; inoculum preserved in glycerol at -20C; recipient soil 1	1
	Inoculated with PA-29; inoculum stored at -20C, no preservative; recipient soil 2	1
	Inoculated with PA-29; inoculum stored at -80C, no preservative; recipient soil 1	1
	Inoculated with PA-29; inoculum stored at -80C, no preservative; recipient soil 2	1
	Inoculated with PA-39; inoculum preserved in DMSO at -20C; recipient soil 1	1
	Inoculated with PA-39; inoculum preserved in DMSO at -20C; recipient soil 2	1
	Inoculated with PA-39; inoculum preserved in DMSO at -80C; recipient soil 1	1
	Inoculated with PA-39; inoculum preserved in DMSO at -80C; recipient soil 2	1
	Inoculated with PA-39; inoculum preserved in glycerol at -20C; recipient soil 2	1
	Inoculated with PA-48; inoculum preserved in DMSO at -20C; recipient soil 2	1
	Inoculated with PA-39; inoculum preserved in glycerol at -80C; recipient soil 1	1
	Inoculated with PA-39; inoculum preserved in glycerol at -80C; recipient soil 2	1
	Inoculated with PA-39; inoculum stored at -20C, no preservative; recipient soil 1	1
	Inoculated with PA-39; inoculum stored at -20C, no preservative; recipient soil 2	1
	Inoculated with PA-39; inoculum stored at -80C, no preservative; recipient soil 1	1
	Inoculated with PA-39; inoculum stored at -80C, no preservative; recipient soil 2	1
	Inoculated with PA-48; inoculum preserved in DMSO at -20C; recipient soil 1	1
	Inoculated with PA-51; inoculum stored at -20C, no preservative; recipient soil 2	1
	Inoculated with PA-51; inoculum stored at -80C, no preservative; recipient soil 2	1
	Inoculated with PA-13; inoculum stored at -80C, no preservative; recipient soil 2	1
	Inoculated with PA-56; inoculum preserved in glycerol at -20C; recipient soil 1	1
	Inoculated with PA-55; inoculum stored at -20C, no preservative; recipient soil 2	1
	Inoculated with PA-55; inoculum stored at -80C, no preservative; recipient soil 1	1
	Inoculated with PA-55; inoculum stored at -80C, no preservative; recipient soil 2	1
	Inoculated with PA-56; inoculum preserved in DMSO at -20C; recipient soil 1	1
	Inoculated with PA-56; inoculum preserved in DMSO at -20C; recipient soil 2	1
	Inoculated with PA-56; inoculum preserved in DMSO at -80C; recipient soil 1	1
	Inoculated with PA-56; inoculum preserved in DMSO at -80C; recipient soil 2	1
	Inoculated with PA-56; inoculum preserved in glycerol at -20C; recipient soil 2	1
	Inoculated with PA-55; inoculum preserved in glycerol at -80C; recipient soil 2	1
	Inoculated with PA-56; inoculum preserved in glycerol at -80C; recipient soil 1	1
	Inoculated with PA-56; inoculum preserved in glycerol at -80C; recipient soil 2	1
	Inoculated with PA-56; inoculum stored at -20C, no preservative; recipient soil 1	1
	Inoculated with PA-56; inoculum stored at -20C, no preservative; recipient soil 2	1
	Inoculated with PA-56; inoculum stored at -80C, no preservative; recipient soil 1	1
	Inoculated with PA-56; inoculum stored at -80C, no preservative; recipient soil 2	1
	Kept in 100% ethanol at -20 C	1
	Inoculated with PA-55; inoculum stored at -20C, no preservative; recipient soil 1	1
	Inoculated with PA-55; inoculum preserved in glycerol at -80C; recipient soil 1	1
	Inoculated with PA-54; inoculum preserved in DMSO at -20C; recipient soil 1	1
	Inoculated with PA-54; inoculum stored at -20C, no preservative; recipient soil 1	1
	Inoculated with PA-54; inoculum preserved in DMSO at -20C; recipient soil 2	1
	Inoculated with PA-54; inoculum preserved in DMSO at -80C; recipient soil 1	1
	Inoculated with PA-54; inoculum preserved in DMSO at -80C; recipient soil 2	1
	Inoculated with PA-54; inoculum preserved in glycerol at -20C; recipient soil 1	1
	Inoculated with PA-54; inoculum preserved in glycerol at -20C; recipient soil 2	1
	Inoculated with PA-54; inoculum preserved in glycerol at -80C; recipient soil 1	1
	Inoculated with PA-54; inoculum preserved in glycerol at -80C; recipient soil 2	1
	Inoculated with PA-54; inoculum stored at -20C, no preservative; recipient soil 2	1
	Inoculated with PA-55; inoculum preserved in glycerol at -20C; recipient soil 2	1
	Inoculated with PA-54; inoculum stored at -80C, no preservative; recipient soil 1	1
	Inoculated with PA-54; inoculum stored at -80C, no preservative; recipient soil 2	1
	Inoculated with PA-55; inoculum preserved in DMSO at -20C; recipient soil 1	1
	Inoculated with PA-55; inoculum preserved in DMSO at -20C; recipient soil 2	1
	Inoculated with PA-55; inoculum preserved in DMSO at -80C; recipient soil 1	1
	Inoculated with PA-55; inoculum preserved in DMSO at -80C; recipient soil 2	1
	Inoculated with PA-55; inoculum preserved in glycerol at -20C; recipient soil 1	1
	Inoculated with PA-29; inoculum stored at -20C, no preservative; recipient soil 1	1
	Inoculated with PA-29; inoculum preserved in glycerol at -80C; recipient soil 2	1
	Inoculated with PA-29; inoculum preserved in glycerol at -80C; recipient soil 1	1
	Inoculated with PA-19; inoculum preserved in DMSO at -80C; recipient soil 2	1
	Inoculated with PA-18; inoculum stored at -20C, no preservative; recipient soil 1	1
	Inoculated with PA-18; inoculum stored at -20C, no preservative; recipient soil 2	1
	Inoculated with PA-18; inoculum stored at -80C, no preservative; recipient soil 1	1
	Inoculated with PA-18; inoculum stored at -80C, no preservative; recipient soil 2	1
	Inoculated with PA-19; inoculum preserved in DMSO at -20C; recipient soil 1	1
	Inoculated with PA-19; inoculum preserved in DMSO at -20C; recipient soil 2	1
	Inoculated with PA-19; inoculum preserved in DMSO at -80C; recipient soil 1	1
	Inoculated with PA-19; inoculum preserved in glycerol at -20C; recipient soil 1	1
	Inoculated with PA-18; inoculum preserved in glycerol at -80C; recipient soil 1	1
	Inoculated with PA-19; inoculum preserved in glycerol at -20C; recipient soil 2	1
	Inoculated with PA-19; inoculum preserved in glycerol at -80C; recipient soil 1	1
	Inoculated with PA-19; inoculum preserved in glycerol at -80C; recipient soil 2	1
	Inoculated with PA-19; inoculum stored at -20C, no preservative; recipient soil 1	1
	Inoculated with PA-19; inoculum stored at -20C, no preservative; recipient soil 2	1
	Inoculated with PA-19; inoculum stored at -80C, no preservative; recipient soil 1	1
	Inoculated with PA-19; inoculum stored at -80C, no preservative; recipient soil 2	1
	Inoculated with PA-18; inoculum preserved in glycerol at -80C; recipient soil 2	1
	Inoculated with PA-18; inoculum preserved in glycerol at -20C; recipient soil 2	1
	Inoculated with PA-29; inoculum preserved in glycerol at -20C; recipient soil 2	1
	Inoculated with PA-16; inoculum preserved in glycerol at -80C; recipient soil 2	1
	Inoculated with PA-16; inoculum preserved in DMSO at -20C; recipient soil 1	1
	Inoculated with PA-16; inoculum preserved in DMSO at -20C; recipient soil 2	1
	Inoculated with PA-16; inoculum preserved in DMSO at -80C; recipient soil 1	1
	Inoculated with PA-16; inoculum preserved in DMSO at -80C; recipient soil 2	1
	Inoculated with PA-16; inoculum preserved in glycerol at -20C; recipient soil 1	1
	Inoculated with PA-16; inoculum preserved in glycerol at -20C; recipient soil 2	1
	Inoculated with PA-16; inoculum preserved in glycerol at -80C; recipient soil 1	1
	Inoculated with PA-16; inoculum stored at -20C, no preservative; recipient soil 1	1
	Inoculated with PA-18; inoculum preserved in glycerol at -20C; recipient soil 1	1
	Inoculated with PA-16; inoculum stored at -20C, no preservative; recipient soil 2	1
	Inoculated with PA-16; inoculum stored at -80C, no preservative; recipient soil 1	1
	Inoculated with PA-16; inoculum stored at -80C, no preservative; recipient soil 2	1
	Inoculated with PA-18; inoculum preserved in DMSO at -20C; recipient soil 1	1
	Inoculated with PA-18; inoculum preserved in DMSO at -20C; recipient soil 2	1
	Inoculated with PA-18; inoculum preserved in DMSO at -80C; recipient soil 1	1
	Inoculated with PA-18; inoculum preserved in DMSO at -80C; recipient soil 2	1
	Inoculated with PA-22; inoculum preserved in DMSO at -20C; recipient soil 1	1
	Inoculated with PA-22; inoculum preserved in DMSO at -20C; recipient soil 2	1
	Inoculated with PA-22; inoculum preserved in DMSO at -80C; recipient soil 1	1
	Inoculated with PA-28; inoculum stored at -20C, no preservative; recipient soil 1	1
	Inoculated with PA-27; inoculum stored at -80C, no preservative; recipient soil 2	1
	Inoculated with PA-28; inoculum preserved in DMSO at -20C; recipient soil 1	1
	Inoculated with PA-28; inoculum preserved in DMSO at -20C; recipient soil 2	1
	Inoculated with PA-28; inoculum preserved in DMSO at -80C; recipient soil 2	1
	Inoculated with PA-28; inoculum preserved in glycerol at -20C; recipient soil 1	1
	Inoculated with PA-28; inoculum preserved in glycerol at -20C; recipient soil 2	1
	Inoculated with PA-28; inoculum preserved in glycerol at -80C; recipient soil 1	1
	Inoculated with PA-28; inoculum stored at -20C, no preservative; recipient soil 2	1
	Inoculated with PA-22; inoculum preserved in DMSO at -80C; recipient soil 2	1
	Inoculated with PA-28; inoculum stored at -80C, no preservative; recipient soil 1	1
	Inoculated with PA-28; inoculum stored at -80C, no preservative; recipient soil 2	1
	Inoculated with PA-29; inoculum preserved in DMSO at -20C; recipient soil 1	1
	Inoculated with PA-29; inoculum preserved in DMSO at -20C; recipient soil 2	1
	Inoculated with PA-29; inoculum preserved in DMSO at -80C; recipient soil 1	1
	Inoculated with PA-29; inoculum preserved in DMSO at -80C; recipient soil 2	1
	Inoculated with PA-29; inoculum preserved in glycerol at -20C; recipient soil 1	1
	Inoculated with PA-27; inoculum stored at -80C, no preservative; recipient soil 1	1
	Inoculated with PA-27; inoculum stored at -20C, no preservative; recipient soil 2	1
	Inoculated with PA-27; inoculum stored at -20C, no preservative; recipient soil 1	1
	Inoculated with PA-27; inoculum preserved in glycerol at -80C; recipient soil 2	1
	Inoculated with PA-22; inoculum preserved in glycerol at -20C; recipient soil 1	1
	Inoculated with PA-22; inoculum preserved in glycerol at -20C; recipient soil 2	1
	Inoculated with PA-22; inoculum preserved in glycerol at -80C; recipient soil 1	1
	Inoculated with PA-22; inoculum preserved in glycerol at -80C; recipient soil 2	1
	Inoculated with PA-22; inoculum stored at -20C, no preservative; recipient soil 1	1
	Inoculated with PA-22; inoculum stored at -20C, no preservative; recipient soil 2	1
	Inoculated with PA-22; inoculum stored at -80C, no preservative; recipient soil 1	1
	Inoculated with PA-22; inoculum stored at -80C, no preservative; recipient soil 2	1
	Inoculated with PA-27; inoculum preserved in DMSO at -20C; recipient soil 1	1
	Inoculated with PA-27; inoculum preserved in DMSO at -20C; recipient soil 2	1
	Inoculated with PA-27; inoculum preserved in DMSO at -80C; recipient soil 1	1
	Inoculated with PA-27; inoculum preserved in DMSO at -80C; recipient soil 2	1
	Inoculated with PA-27; inoculum preserved in glycerol at -20C; recipient soil 1	1
	Inoculated with PA-27; inoculum preserved in glycerol at -20C; recipient soil 2	1
	Inoculated with PA-27; inoculum preserved in glycerol at -80C; recipient soil 1	1
	Inoculated with PA-28; inoculum preserved in DMSO at -80C; recipient soil 1	1
