env_package	samp_size	count
	10 to 20 nodules collected	6
	Complete stomach	6
	58ul	6
	Complete Plant	6
	947	6
	200cm2	6
	Cecum matter 1g	6
	282	6
	58.9ul	6
	2000ml	6
	151	6
	176	6
	2000 J2 individuals + 30 ml of soil suspensions	6
	176.6ul	6
	0uL	6
	177	6
	153	6
	100ML	6
	179	6
	200 μl	6
	360	6
	187	6
	0.5g sediment Sample	6
	entire surface of specimen (~10cm long)	6
	0.35	6
	160 ml	6
	3 individual plants	6
	3 individual samples	6
	980 mL	6
	3.4 L	6
	1x1cm	6
	161	6
	four liter	6
	165	6
	51.2ul	6
	81.4ul	6
	0.028 g	6
	~19 square cm area swabbed	6
	23ul	6
	0.5g each faecal sample	6
	SPCC1235.01 gene	6
	5 gm (0.5 gm per replicate)	6
	162.2ul	6
	193.6ul	6
	162.8ul	6
	3.3	6
	24 mg	6
	163	6
	Six	6
	84.2ul	6
	840	6
	164.1ul	6
	164	6
	53.7ul	6
	2 micrograms	6
	191	6
	16.6ul	6
	2-3Kg	6
	159	6
	~ 2in x 2in x1.5 in	6
	850 mL	6
	100ml volume cultures	6
	48.3ul	6
	2.7 L	6
	Pool of 10 Ixodes holocyclus females	6
	Pool of 10 Ixodes holocyclus males	6
	78.5ul	6
	Pool of 50 Haemaphysalis bancrofti nymphs	6
water	1liter	6
	129	6
	0.066 g	6
	166	6
	2.4	6
	19.8ul	6
	104.9ul	6
	mL	6
	34.2ul	6
	2.3	6
	50K cells	6
	127	6
	105 g	6
	4 microg head	6
	190.5ul	6
	8 mm in diameter_piece_of_toilet_tissue	6
	0.024 g	6
	7.5mL	6
	126	6
	10 cm of the bio-cords	6
	50 grams	6
	2.9 L	6
	26.3ul	6
	1.4 L	6
	216	6
	68 g	6
	206	6
	230	6
	65 g	6
	500 Individuals	6
	0,9 L	6
	500 mg / 2 cm2	6
	255 ml	6
	147	6
	66.5ul	6
	66.1ul	6
	14 L	6
	212	6
	1,filter	6
	265 ml	6
	265ul	6
	Multiple colonies collected and sequenced	6
	500 ml of seawater	6
	208.3ul	6
	20mL	6
	50000000 CFU	6
	217	6
	209	6
	0.01	6
	0.2 L water	6
	1-10 liters	6
	145	6
	148.1ul	6
	149	6
	139	6
	450 ml	6
	Two litres	5
	0.05	5
	1000 mg	5
	267 L	5
	~500 - 1000 grams	5
	0.049 g	5
	cca 10000 individuals	5
	0.61g	5
	80k_raw_fast5	5
	540	5
	0.42 g	5
	211	5
	689ul	5
	2.82MB	5
	350	5
	100k_raw_fast5	5
	160k_raw_fast5	5
	1 Lt	5
	3 leaflets	5
	1 filter	5
	76 g	5
	5 host individuals	5
	one potato plant	5
	0.28 g	5
	5kg	5
	200 Gm	5
	6 L	5
	Honey bee pollen baskets	5
	20k_raw_fast5	5
	one tube	5
	15 mg	5
	9 L	5
	5 gram	5
	0.5 -1 kg	5
	75 µl of washing PBS from 3 Philophthalmus attenuatus cercaria specimens	5
	130 ml	5
	20 liters	5
	60k_raw_fast5	5
	75 �l of washing PBS from respective gonad tissue sample	5
	233	5
	186	5
	400k_raw_fast5	5
	15L	5
	1.1g	5
	40 - 50 cm length branch with 100 - 200 leaves|40 - 50 mL soil	5
	1G	5
	24k_raw_fast5	5
	195	5
	1: 300 ml | 2: 100 ml	5
	196	5
	600	5
	222	5
	215	5
	340	5
	219	5
	4 days of sclerotia	5
	0.45	5
	0.36 g	5
	54 g	5
	2.2	5
	4 pellets	5
	1.5g	5
	8 days of sclerotia	5
	0.041 g	5
	2.10 L	5
	2.1	5
	218	5
	262	5
	120k_raw_fast5	5
	101 Individuals	5
	0.12	5
	99 g	5
	480 ml	5
	1.0 g larval material	5
	66 g	5
	12k_raw_fast5	5
	78 g	5
	12L	5
	not aplicable	5
	213	5
	24.5 cm3	5
	224	5
	1101.8L	5
	3.35 L	5
	ssp1 segment	5
	200 g of gravel media	5
	1100 mL	5
	1100	5
	21L	5
	36k_raw_fast5	5
	3.3 cm	5
	5 days of sclerotia	5
	0.51g	5
	270	5
	184	5
	97 g	5
	73 g	5
	the plasmidome population from an individual cow's rumen, cow was fed HIGH fibe diet	5
	169	5
	180 mg	5
	~5g of composite tailings	5
sediment	500 mL	5
	96 Individuals	5
	40k_raw_fast5	5
	16k_raw_fast5	5
host-associated	1 individual	5
	32k_raw_fast5	5
	900ml	5
	0.26 g	5
	28k_raw_fast5	5
	200k_raw_fast5	5
	201	5
	10,000	5
	7.4 L	5
	1168.2L	5
	70 g	5
	10 gram	5
	volume	5
	171	5
	203	5
	0.9g	5
	1171.0L	5
	204	5
wastewater_sludge	200 mg	5
	207	5
	200 uL	5
	183	5
	30L	5
wastewater_sludge	1	4
	0.949600000000001	4
	202g	4
	0.893800000000001	4
	150mL	4
	0.47 g	4
	280	4
	0.854300000000001	4
	193	4
	82 g	4
	0.875600000000001	4
	0.064 g	4
	30.5 g	4
	0.831300000000001	4
	0.45 g	4
	3-4 L	4
	279	4
	223	4
	0.999900000000001	4
	5.4 L	4
	6.95 kg	4
	236	4
	~6,000,000 cultured cells	4
	0.668700000000001	4
	0 L seawater	4
	103 g	4
	0.873800000000001	4
	0.06	4
	3.4 cm	4
	32Gbp	4
	2.58MB	4
	1020 mL	4
	1.214	4
	3 x 50 ml	4
	0.027 g	4
	~200mg soil	4
	1.2355	4
	50 l	4
	200L	4
	not	4
	Pool of 5 Haemaphysalis bancrofti males	4
human-gut	unknown	4
	0.225	4
	650 mL	4
	1 liter of aquarium water	4
	9 healthy M. nipponense	4
	1.2381	4
	178 L	4
	53 g	4
	0.175	4
	221	4
	2-3 g	4
	0.036 g	4
	52 g	4
	Sediment samples (40 mL)	4
	10 mL of culture	4
	4 ml	4
	0.730700000000001	4
	3000ml	4
	200 liters for each sample	4
	500 gm	4
	198g	4
	199	4
	One worker	4
	data not collected	4
	1.0146	4
	920 mL	4
	0.906900000000001	4
	2050 mL	4
	0.719000000000001	4
	0.71g	4
	0.901500000000001	4
	0.954600000000001	4
	0.956400000000001	4
	305	4
	1.5ml	4
	0.249g	4
	1040 mL	4
	85 g	4
	1.9	4
	0.693900000000001	4
	rhizosphere from 15 plant specimens pooled	4
	1380	4
	0,95 L	4
	0.253g	4
	2 sqcm	4
	0.91g	4
	92 g	4
	310	4
	2 x 1 cm2 of tissue from the middle of the kelp blade	4
	Replicate 3 = 10cm bottom	4
	10 ml culture	4
	1-2 Kg	4
	0.561600000000001	4
	1970 mL	4
	45 L	4
	0.564600000000001	4
	2.5L	4
	2.00 L	4
	0.5 liter	4
	0.924300000000001	4
	0.2 �l of solution	4
	970 mL	4
	181	4
	2.94MB	4
	1.0783	4
	10 Individuals	4
	189	4
	12.5 g	4
	0.97 L	4
	1001 Individuals	4
	1.078	4
	1.5 (orig)	4
	3.6	4
	400 Individuals	4
	1 meter^2	4
	single host cell	4
	0.5732	4
	3.8 L	4
	69 g	4
	0.09	4
	900 ml	4
	0.7669	4
	977,000,000 cells	4
	1440	4
	0.025	4
	0.816600000000001	4
	0.822200000000001	4
	0.855100000000001	4
	75 �l of solution	4
	0.04 g	4
	entire surface of specimen (~25cm2)	4
	26Gbp	4
	250-mL	4
	6: (adults=3; chicks=3)	4
	0.812100000000001	4
	1l	4
	200 ng/uL	4
	0.9855	4
	one photogranule of approximately 5 mm in diameter	4
	1 minute	4
	37.5 �l of solution	4
	0.7677	4
	292	4
	15 ng DNA/L	4
	bottom	4
water	8 liters	4
	1.7L	4
	1sqcm	4
	1.0696	4
	1.19 L	4
	1 lobe of multi-lobed colony	4
	88 g	4
	1 adult	4
	5.0L	4
	0.658900000000001	4
	0.848100000000001	4
	7.5g	4
microbial mat_biofilm	2 ml	4
	1-2 L	4
	1.0568	4
	20 microliters	4
	2.68MB	4
	200 anthers	4
	207g	4
	420 ml	4
	3 x 100 ml	4
	200 mg processed	4
	3.5	4
	0.81g	4
	0.571500000000001	4
	239	4
	500 grams	4
	1.18 L	4
	100 g, three replicates	4
	3.56 L	4
	45 tomato plants	4
	120 g	4
	single fruit fly	4
	10 Liters	4
	360 ml	4
	0.525	4
	subsample of ca. 1 cm3, approximately 10 cm away linear distance from replicate I	4
	entire surface of specimen (~20cm2)	4
	0.054 g	4
	0.968700000000001	4
	0.27 g	4
	880 mL	4
	0.033 g	3
	1cm3	3
	12 liters	3
	three samples from trees with leaves exhibiting Fe-deficiency chlorosis (CH 1-3)	3
	0.035 g	3
	9 individuals	3
	0.0368	3
	0.13	3
	three samples from trees with normal leaves (CK1-3)	3
	945	3
	426 L	3
	312	3
	1: 300 ml | 2: 200 ml	3
	1-2	3
	45 g	3
	340 ml	3
	0.44 g	3
	.5g plant material	3
	86 g	3
	0.0326	3
	17.30 g	3
	ssp2 fragment	3
	87 g	3
	98.6ul	3
	3x 100 mg	3
	0.104 g	3
	3.4Mb	3
	1900 mL	3
	3750 mL	3
	0.026 g	3
	3.5 cm	3
	cfu from air	3
	19.1cm	3
	0.19	3
	0.550 L	3
	390 ml	3
	96 g	3
	120 L	3
	112 mL	3
	180.5 cm2	3
	960 mL	3
	309	3
	0.54 L	3
	3.625 L	3
	620	3
host-associated	5 mL	3
	blank extraction	3
	3.725 L	3
	975 mL	3
	0.018	3
	3.425 L	3
	242	3
	0.032 g	3
	17.38 g	3
	0.0317	3
	24Gbp	3
	0.122 g	3
	3.07MB	3
	300-mL	3
	10g of sediment	3
	10g of soil was used for isolation	3
	95 g	3
	0.0423	3
	10prep	3
	3.1 cm	3
	3.11	3
	0.440 L	3
	1630 mL	3
	11 g	3
	#N/B	3
	Size1600 micron	3
	51 g	3
	0.03 g	3
	31-Aug-12	3
	1.2g	3
	3.2 cm	3
	0.026	3
	swabbing the mid to tip of the blade for 20 seconds	3
	244	3
	91 g	3
	1200 ml	3
	2280	3
	'missing	3
	1480	3
	204 mg	3
	1083 cm2	3
	1.4L	3
	2.8 cm	3
	40 pooled cores of 50-mm diam. Samples to 50 mm depth from 625-m2 area	3
	56 g	3
	250 grams	3
	0.05 g	3
	478ml	3
	6 ml	3
	400 milliliter of river water	3
	0.048 g	3
	Approximately 1 L	3
water	0.95liter	3
	2.95MB	3
	2.98	3
	0.30 g	3
	0.62g	3
	2900 ml	3
	21 L	3
	750 micron	3
	750 mL	3
	100 microg of a whole body	3
	401Mpb	3
	40 pooled cores of 50-mm diam. Samples to 50 mm depth from 40000-m2 area	3
	2.7L	3
	milligrams	3
	40 pooled cores of 50-mm diam. Samples to 50 mm depth from 10000-m2 area	3
	103 mg	3
	235	3
	780	3
	2.51MB	3
	0.063 g	3
	Pool of 5 Haemaphysalis bancrofti females	3
	4.6Mb	3
	362	3
	102 mg	3
	2.59MB	3
	2.5g (wet)	3
	13 L	3
	23-Oct-10	3
	212 mg	3
	101 mg	3
	2.7	3
	0.021 g	3
	361 cm2	3
	0.058 g	3
	297	3
	0.055 g	3
	one piece	3
	232	3
	1.75 L	3
	20 sample	3
	206 mg	3
	700L air	3
	0.7	3
	59 g	3
	273	3
	45g	3
sediment	15g	3
	202 mg	3
	276	3
	10 liter	3
	0.72g	3
	2020 mL	3
	1500 mL	3
	5.22g	3
	275	3
	5.21g	3
	0.82g	3
	501 Individuals	3
	7.6 L	3
	7.5 g	3
	remainder	3
	411 L	3
	1.8L	3
	201 mg	3
	0.02	3
	740	3
	200 Liters	3
	250 micron	3
	0.27	3
	200.17mg	3
	345	3
	0.083 g	3
	200.67mg	3
	0.003	3
	722 cm2	3
	samples was collected in replicate from 3 different sites of the same location.	3
	200.93mg	3
	285	3
	40g	3
	0.044 g	3
	7.15 L	3
	single clone	3
	0.044	3
	272	3
	0.680 L	3
	4.4 cm diameter, 10 cm depth	3
water	1.5 liter	3
	16-Oct-10	3
	0.076 g	3
	Pros_014	3
	4,3mg	3
	2600ml	3
	Pros_013	3
	Pros_012	3
	Pros_011	3
	Pros_010	3
	Pros_009	3
	0.038 g	3
	Pros_008	3
	4.1	3
	2.33MB	3
	488ml	3
	3 KG	3
	Pros_007	3
	2.35g	3
	0.068	3
	0.0749	3
	Pros_015	3
	Pros_016	3
water	2.5L	3
	2.12g	3
	0.52g	3
	Pros_020	3
	216 mg	3
	Pros_019	3
	2.0	3
	Pros_018	3
	0.325	3
	Pros_017	3
	Replicate 1 = 10cm bottom	3
	Replicate 2 = 10cm bottom	3
	105 mg	3
	26-Sep-11	3
	Fin tissue was 3cm long.	3
	219 mg	3
	500 individuals	3
	0.14	3
	filtration retentates from 300 mL water	3
	0.0238 g	3
	Pros_005	3
	0.450 L	3
	Pros_001	3
	452ml	3
	2.40MB	3
	4.3	3
	0.375	3
	Pros_004	3
	1.5ml of cell culture at OD600 of 0.28	3
	Pros_003	3
	Pros_006	3
	104 mg	3
	2 biological replicates	3
	450	3
	Pros_002	3
	2.45MB	3
	0.023 g	3
	151 gr	2
	313	2
	306	2
	956	2
	17 L	2
	335	2
	16g	2
	152 gr	2
	143 gr	2
	5024	2
water	4L	2
	99 gr	2
	96 gr	2
	325 ml	2
	325	2
water	8.4 liters	2
	50,18mg	2
	172 gr	2
	1720 mL	2
	152Mbp	2
	0,85 L	2
	50,61mg	2
	336	2
	Coelomic fluid collected from 2 specimens	2
	990 mL	2
water	8L	2
	1600 mL	2
	1700ml	2
	145 gr	2
	314	2
	328	2
	336mL	2
	50 ul nuclease free water	2
	1700 mL	2
	162 gr	2
	149 gr	2
	95 gr	2
sediment	2 g	2
	337	2
	950 ml	2
	315	2
	949	2
	171 gr	2
	170 gr	2
water	250 Litres	2
	161 gr	2
	160 gr	2
	50.3mL	2
	946	2
	150 gr	2
water	3 liters	2
	0.0097 g	2
	150 L	2
	148 gr	2
	1460	2
	169 gr	2
	147 gr	2
	FG1.6	2
	51 gr	2
	159 gr	2
	0.089 g	2
	1650 mL	2
	0.5 g tissue	2
	164 gr	2
	Adult mass 12.68g_svl 71mm	2
	500 ml of environmental water	2
	0.5 L seawater	2
	0.50 g	2
	166 gr	2
	98 gr	2
	FG1.3	2
	142 gr	2
	FG1.4	2
	98 g	2
	FG1.5	2
	16 L	2
	500 microliters	2
	500 mg from 7.2 meter	2
	51,71mg	2
	317	2
	165 gr	2
	510 ml	2
water	152 cm fork length	2
	144 gr	2
	5093	2
	338	2
	For each sample, DNA was extracted from 0.5 grams * 3 replicates and pooled before sequencing.	2
	15X10X10 cm	2
	0.5 g wet weight	2
	146 gr	2
	330 ml	2
	153 gr	2
soil	1 kg	2
	320 ml	2
	0.099 g	2
	155 ml	2
	321	2
	155 gr	2
	500ML	2
	16,8mg	2
	156 gr	2
	97 gr	2
	FG1.1	2
	168 gr	2
	C	2
	154 gr	2
	0.495 L	2
	A	2
	157 gr	2
	333	2
	DNA extracted from 0.25 g macroalgae Durvillaea sp.	2
water	7.4 liters	2
	510mg	2
	0.093 g	2
	Approximately 300 microliters of mat biomass. It is half of the mat biomass collected by combination of 9 mini-cores (24 mm diameter each).	2
	30micron	2
	158 gr	2
	163 gr	2
	FG1.2	2
	1470 mL	2
	167 gr	2
	50ul	2
	0.095 g	2
	31µL	2
	1670	2
	50 ul	2
	324	2
	518	2
	2.55 L	2
	284	2
	72 g	2
	72 gr	2
	58 gr	2
	58 g	2
	200.83mg	2
	5785	2
	286mL	2
	200.74mg	2
	287	2
	200.63mg	2
	200.55mg	2
	200.48mg	2
	288 mg	2
	73 gr	2
	73,09mg	2
	200.25mg	2
	200.24mg	2
	200.18mg	2
	74 g	2
	74 gr	2
	20000 grams of seeds	2
	20000 ml	2
	580	2
	277	2
	205 mg	2
	7.41 L	2
	5937	2
	2030 mL	2
	203 mg	2
	590 ml	2
	70 gr	2
	70,07mg	2
	700	2
	59 gr	2
	281 mg	2
	278	2
	2792	2
	71 gr	2
	28.11 ng/ul	2
	71,83mg	2
	280 Individuals	2
	0.26 L	2
	2800 ml	2
	2800ml	2
	57 gr	2
	57 g	2
	200 L	2
	2.67g	2
	77 Individuals	2
	2.72MB	2
	2.71MB	2
	77 gr	2
	298	2
	770 mL	2
	2.7 cm	2
	2.69MB	2
	2.68g	2
	2.66MB	2
	2.75MB	2
	2.65MB	2
	2.64MB	2
	2.62MB	2
	775 ml	2
	2.6 L	2
	2.6	2
	2Liters	2
	2.56MB	2
	2.55g	2
	2.74MB	2
	2.8 L	2
	200 Individuals	2
	750micron	2
	7437	2
	0.29 g	2
	75 gr	2
	20 mosquitos	2
	290	2
	20 microg heads	2
	75 ml	2
	75 µl of washing PBS from 1 Philophthalmus attenuatus adult specimen	2
	20 litres	2
	75uL	2
	2.81MB	2
	76 gr	2
	56,57mg	2
	2.95 L	2
	293	2
	2.93	2
	760 mL	2
	2.88g	2
	56 gr	2
	2.87	2
	7.325 L	2
	7.3 L	2
	7.2cm	2
	65 gr	2
	230 ml	2
	230 mg	2
	250-350 gram	2
	0.21	2
	6473	2
	61 gr	2
	0.2 to 0.5 g of wet biofilm	2
	250micron	2
	250nm	2
	61 g	2
	250 ml sterile water	2
	60mg	2
	251 Individuals	2
	650	2
	60g	2
	6096	2
	226	2
	60593	2
	225	2
	66 gr	2
	0.215	2
	231	2
	257 mg	2
	25,4mg	2
	243	2
	620 mL	2
	24.90 ng/ul	2
	0.243 g	2
	0.238 g	2
	0.23	2
	63 gr	2
	25 microliter	2
	630 mL	2
	25-30mg leaf material	2
	231 mg	2
	62 gr	2
	62 g	2
	2358	2
	64 g	2
	64 gr	2
	234	2
	64,4mg	2
	64,88mg	2
	615 mL	2
	660 mL	2
	222 mg	2
	7.25L	2
	269	2
	6.10Mb	2
	265	2
	265 mg	2
	211 mg	2
	69 gr	2
	210 mg	2
	69,25mg	2
	267	2
	268	2
	20mg	2
	263 mg	2
	6L	2
	0.2533g	2
	209 mg	2
	7,2mg	2
	5LITER	2
	208 mg	2
	0.17	2
	7.075 L	2
	207 mg	2
	2120	2
	213 mg	2
	221 mg	2
	60 gr	2
	220 mg	2
	220 L	2
	0.18	2
	60 mL hot tap water	2
	67 g	2
	67 gr	2
	0.179 g	2
	25_thawed_debris	2
	22 microg heads	2
	22 L	2
	680 ml	2
	25ml_NC	2
	218 mg	2
	217 mg	2
	0.173 g	2
	215 mg	2
	68 gr	2
	261	2
	6.525 L	2
	214 mg	2
	78 gr	2
	0.16 g	2
	173 gr	2
	2.53g	2
	1890 mL	2
	3.6 cm	2
	89,093 bp	2
	89,218 bp	2
	1880 mL	2
	890 mL	2
	890 ml	2
	0.425	2
	3.68 L	2
	3.695 L	2
	3.6Mb	2
	3.735 L	2
	3.76 L	2
	3.77 L	2
	8lb 1oz	2
	3.79 L	2
	3.8	2
	0 grams	2
	9 samples	2
	9,2mg	2
	9,39mg	2
	89 gr	2
	18g (wet)	2
	19 L	2
	3.4	2
	3.21 L	2
	3.21MB	2
	3.22 gram	2
	3.25 L	2
	0.12 g	2
	86 gr	2
	3.34MB	2
	860 mL	2
	3.3L	2
	3.45 L	2
	3.5L	2
	1910 mL	2
	87 gr	2
	3.475 L	2
	190 ml	2
	0.415	2
	88 gr	2
	3.55 L	2
	19,6mg	2
	19,4mg	2
	9.125 L	2
	9.26 L	2
	3.925 L	2
	3000 ml	2
	30.8 g	2
	300 Individuals	2
	300 L	2
	520	2
	52,23mg	2
	177 Individuals	2
	52 microg heads	2
	92 gr	2
	52 gr	2
	1750 mL	2
	30.2 g	2
	0.1 ml	2
	93 g	2
	93 gr	2
	300ul	2
	175 gr	2
	930 mL	2
	174 gr	2
water	9.4 liters	2
	94 gr	2
	91 gr	2
	30.1 g	2
	30 L	2
	900 mL surface water	2
	0.11 g	2
	9.8 liters	2
	9.95 L	2
	9.98 L	2
	90 g	2
	90 gr	2
	1800 mL	2
	90 ml	2
	.01 mg	2
	900 mL surface water, 100 mL wastewater	2
	905 ml	2
	900 mL surface water, 100 mL wastewater, 1 g dog feces	2
	900 mL surface water, 100 mL wastewater, 1 g goose feces	2
	900 mL surface water, 100 mL wastewater, 1 g goose feces, 1 g dog feces	2
	900 mL surface water, 100 mL wastewater, 1 g goose feces, 1 g horse feces	2
	900 mL surface water, 100 mL wastewater, 1 g horse feces	2
	900 mL surface water, 100 mL wastewater, 1 g horse feces, 1 g dog feces	2
	30 micron	2
	0.43 g	2
	900mL of water	2
	1940 mL	2
	3.2	2
	53 gr	2
	2.17g	2
	2.29MB	2
	79975	2
	2.28MB	2
	79g	2
	2.25 L	2
	2.24 L	2
	2.23g	2
	2.21g	2
	2.1g	2
	2.15 L	2
	2.3 L	2
	2.13g	2
	8.0 L	2
	0.325g	2
	8.2cm	2
	2.09MB	2
	8.6 L	2
	540 mL hot tap water	2
	80 Individuals	2
	540 mL	2
	2.2g	2
	2.32MB	2
	2-3 kg	2
	2mg	2
	2.52MB	2
	0.31 g	2
	2.5 liter	2
	0.32	2
	0.32 g	2
	0.155 g	2
	2.4L	2
	0.154 g	2
	5524	2
	2ml of sputum	2
	55 gr	2
	2.44MB	2
	2.44 mg	2
	79 gr	2
	2.42G	2
	550 mL	2
	2.38MB	2
	2.37g	2
	2.37MB	2
	2.33g	2
	80 gr	2
	0.33 g	2
	85 gr	2
	3.02g	2
	3,3mg	2
	82 gr	2
	3,5mg	2
	820 mL	2
	3,9mg	2
	1990 mL	2
	199.75mg	2
	3.00MB	2
	83 gr	2
	3.03MB	2
	0.41	2
	3.09MB	2
	84 g	2
	84 gr	2
	530 ml	2
	3.12	2
	3.13g	2
	1960 mL	2
	3.14	2
	3.14MB	2
	1: 400 ml | 2: 100 ml	2
	3 sponges	2
	2-3 cm pieces of leaf tissues collected from 30 plants	2
	2 cm2	2
	80 ml	2
	54 gr	2
	800 ml	2
	0.34 L	2
	0.34 g	2
	50 uL	2
	2 lit	2
	0.36 L	2
	0.37 g	2
	80136	2
	1cm2	2
	2 X2 cm	2
	80240	2
	0.375L	2
	1ul	2
	0.39 g	2
	3 microg head	2
	81 g	2
	1lt	2
	81 gr	2
	2 liter	2
	244 mg	2
	0.012 g	2
	entire surface of specimen (~10cm2)	2
	1084	2
	1080	2
	108 gr	2
	1079	2
	g	2
	isolate was from one infected ginger rhizome	2
	491.2 mg	2
	490 ml filtered	2
	107 gr	2
	0.575	2
	0.076	2
	490	2
	10666	2
	1066	2
	49.7mL	2
	0.07 g	2
	less than 51ml	2
	entire surface of specimen (~20cm long)	2
	entire surface of specimen (ca. 5cm diameter)	2
	TN1.1	2
	entire surface of specimen (ca. 5 cm diameter)	2
	coreC 60-70cm	2
	coreC 70-80cm	2
	coreC 80-90cm	2
	coreD 0-10cm	2
	coreD 10-20cm	2
	coreD 20-30cm	2
	coreD 30-40cm	2
	coreD 40-50cm	2
	coreD 50-60cm	2
	coreD 70-80cm	2
	0.56g	2
	10cm2	2
	0.031 g	2
	0.034 g	2
	1097	2
	0.037 g	2
	109 gr	2
	less than 52ml	2
	1060	2
	less than 53ml	2
	less than 54ml	2
	1050	2
	0.0685	2
	105 gr	2
	0.039 g	2
	4.1 L	2
	488	2
	4.15 L	2
	4.16 L	2
	104 gr	2
	4.2	2
	0.58	2
	4.23 L	2
	4.25 L	2
	10384	2
	1034	2
	1032	2
	4.41 L	2
	49 microg heads	2
	less than 70ml	2
	less than 69ml	2
	less than 60ml	2
	less than 55ml	2
	106 gr	2
	106 g	2
	less than 56ml	2
	less than 57ml	2
	less than 58ml	2
	less than 59ml	2
	less than 61ml	2
	less than 68ml	2
	less than 62ml	2
	less than 63ml	2
	less than 64ml	2
	less than 65ml	2
	less than 66ml	2
	less than 67ml	2
	1055	2
	coreC 50-60cm	2
	coreC 40-50cm	2
	coreC 30-40cm	2
	1147	2
	118 g	2
	380	2
	380 ml	2
	3800 mL	2
	117 gr	2
	117 M	2
	382	2
	0.54L	2
	1167	2
	1165	2
	3835 mL	2
	1160	2
	116 gr	2
	0.54g	2
	386	2
	1150 mL	2
	115 gr	2
	118 gr	2
	1180	2
	378	2
	Water sample	2
	TN1.3	2
	TN1.4	2
	TN1.5	2
	TN1.6	2
	5 copepods	2
	120 gr	2
	120 Individuals	2
	370 mL	2
	119 Individuals	2
	3700 mL	2
	12 g	2
	372	2
	0.541g	2
	11lb 9oz	2
	373	2
	119 gr	2
	0.55	2
	1146	2
	coreC 20-30cm	2
	39,73mg	2
	110 gr	2
	coreA 30-35cm	2
	coreA 35-40cm	2
	coreA 40-45cm	2
	coreA 45-50cm	2
	coreA 5-10cm	2
	coreA 50-55cm	2
	coreA 55-60cm	2
	coreA 60-65cm	2
	11.4 liters	2
	coreA 75-80cm	2
	coreB 0-10cm	2
	coreB 10-20cm	2
	coreB 20-30cm	2
	coreB 30-40cm	2
	coreC 0-10cm	2
	coreC 10-20cm	2
	0.029 g	2
	coreA 20-25cm	2
	coreA 15-20cm	2
	398	2
	a glass hopper	2
	114 gr	2
	about 100g	2
	393	2
	113 gr	2
	1128	2
	cDNA obtained from RNA before ultracentrifugation, extracted from 15 ml slurry	2
	399	2
	coreA 10-15cm	2
	112 gr	2
	1110	2
	3ml	2
	111 gr	2
	111 M	2
	5 cm3	2
	coreA 0-5cm	2
	0.065 g	2
	103 gr	2
	4.58Mb	2
	1.25 L	2
	4201	2
	451Mpb	2
	1.5ml of cell culture at OD600 of 0.213	2
	0.78L	2
	1.56g	2
	450 mL	2
	1.5 liter	2
	425	2
	1.5	2
	1.49 gram	2
	1.45 gram	2
	1.41 gram	2
	1.400 L	2
	3	2
	1.300 L	2
	1.3 L	2
	1.2L	2
	0.782400000000001	2
	1.60g	2
	420	2
	single_17	2
	single_13	2
	1.72 gram	2
	single_14	2
	1.70 gram	2
	single_15	2
	single_16	2
	1.7	2
	single_18	2
	1.65 gram	2
	single_19	2
	single_20	2
	single_21	2
	single_22	2
	single_23	2
	single_24	2
	single_25	2
	ssp1 fragment	2
	ssp1SPCC1235.01 genes	2
	single_11	2
	surface of ca. 10 cm2	2
	1 kilogram	2
	1 kg, three replicates	2
	442	2
	0.8g	2
	1 gut per bee, 3 bees per hive	2
	~100mg	2
	~13 square cm area swabbed	2
	0.92g	2
	~2-3 g	2
	0.95 L	2
	438	2
	1 animal	2
	1 agar plate lawn (100 x 15 mm)	2
	0.96g	2
	1 Kilo	2
	190,123 BP	2
	0.99 L	2
	0.86g	2
	4320	2
	0.85 L	2
	1.05 L	2
	1.15 L	2
	448	2
	1.125 L	2
	1.11 mg	2
	ten 200x200mm surber samples, 5 from riffles , 5 from pools. Two treatments; with willlows, without willows.	2
	1.0g	2
	0.043 g	2
	1.04 L	2
	4309	2
	1.0208	2
	1.01 L	2
	43,4mg	2
	1-3cm	2
	1-10 cm3	2
	2	2
	0.820 L	2
	single_12	2
	single_10	2
	4.67 L	2
	10.5 g	2
	100 non-engorged female Culiseta longiareolata	2
	100 non-engorged female Culex pipiens	2
	100 ml of rumen digesta was collected	2
	100 microg of 10 whole bodies	2
	402	2
	0.65	2
	0.650 L	2
	100 gram	2
	100 g yogurt	2
	100 cysts	2
	0.660 L	2
	0.66g	2
	10.9 g	2
	10.85 L	2
	10.8 g	2
	10.7 g	2
	10.65 L	2
	0.621g	2
	0.620 L	2
	not known	2
	0.059 g	2
	4.7 L	2
	0.061 g	2
	102 gr	2
	4.9 L	2
	101 gr	2
	101 g	2
	480 Individuals	2
	100nm	2
	4000 ml	2
	0.590 L	2
	48,61mg	2
	40 pooled cores of 50-mm diam. Samples to 50 mm depth from 20000-m2 area	2
	40-45 mL of spent planktonic cathode medium	2
	0.600 L	2
	1000nm	2
	0.601g	2
	10.6 g	2
	472	2
	single_09	2
	10.45 L	2
	1.9L	2
	45_thawed_debris	2
	459	2
	several leaves	2
	single_01	2
	single_02	2
	0.76g	2
	1.8 kg	2
	1.8	2
	1.7g	2
	single_03	2
	single_04	2
	single_05	2
	single_06	2
	single_07	2
	single_08	2
	1.77 gram	2
	10 cells	2
	0.75 L seawater	2
	10 liters	2
	4655	2
	10.4 g	2
	408	2
	10.3 g	2
	469	2
