env_package	experimental_factor	count
	Bulk soil, cultivator tratment with standard nitrogen fertilization and use of pesticides	2
	channel under hydraulic retention time of 130 min	2
host-associated	Group2-WT	2
host-associated	BMT_wt_to_Ldlrko_cage_7	2
	chronic-water	2
host-associated	KO 5w after separation	2
	control-water	2
host-associated	KO 7w after separation	2
host-associated	23_wks	2
host-associated	16_wks	2
	FL_P	2
	arch_amoA_cDNA_blank	2
	Replicate 2, dilution 5, run 1	2
	PD_replicate	2
plant-associated	kelpsurface_elevtemp_elevCO2	2
plant-associated	kelpsurface_elevtemp	2
plant-associated	kelpsurface_elevCO2	2
microbial mat_biofilm	water_probiotic_biofilm	2
	acute-water	2
microbial mat_biofilm	water_heterotrophic_biofilm	2
microbial mat_biofilm	seawater_initial	2
host-associated	Group1-WT	2
	HS1_7.6_DNA	2
	ambient seawater	2
host-associated	Group1-Hetero	2
	raw	2
	Puratos Tap Water Sample	2
	arch_amoA_DNA_blank	2
	Polycaprolactone surface incubated for 8 weeks in seawater	2
	Replicate 2, dilution 4, run 2	2
	Replicate 2, dilution 4, run 1	2
	Site 2 5cm-deep 2	2
	Site 1 25cm-deep 1	2
	Site 3 25cm-deep 2	2
	Site 3 25cm-deep 1	2
	Site 3 15cm-deep 3	2
	Site 3 15cm-deep 2	2
	Site 3 15cm-deep 1	2
	Replicate 4, Dilution 7	2
	Replicate 4, Dilution 6	2
	Replicate 4, Dilution 5	2
	Site 2 5cm-deep 1	2
	Replicate 3, dilution 9, run 2	2
	Replicate 4, Dilution 4	2
	none	2
host-associated	Group4-Hetero	2
	Replicate 4, Dilution 3	2
	Replicate 4, Dilution 2	2
host-associated	Group4-KO	2
	Replicate 4, Dilution 1	2
	Site 2 25cm-deep 3	2
	Root-affected soil, cultivator treatment with reduced (50%) nitrogen fertilization	2
	Root-affected soil, cultivator treatment with standard nitrogen fertilization and use of pesticides	2
	Root-affected soil, ploughed with reduced (50%) nitrogen fertilization	2
	Root-affected soil, ploughed with standard nitrogen fertilization and use of pesticides	2
soil	succession after disturbance	2
	Site 1 15cm-deep 2	2
water	urea	2
host-associated	The proximal murine colon contains mucosal folds that are known to be associated with morphologically distinct microbes. To identify these microbes, we utilized the technique of laser capture microdissection to sample microbes associated with these folds (interfold region) and within the central lumen (digesta region). Tag pyrosequencing of 16S rRNA genes was used to compare microbial populations between interfold and digesta samples.	2
	THP 3.1 g/kg	2
	Site 1 15cm-deep 3	2
	Soil pH	2
	feces-samp	2
water	ammonium	2
water	control_final	2
water	control_start	2
	Slurry enrichment	2
	Site 3 5cm-deep 3	2
	Site 3 5cm-deep 2	2
host-associated	Group3-KO	2
	Site 3 5cm-deep 1	2
	Site 3 25cm-deep 3	2
	Site 2 25cm-deep 2	2
	Site 2 5cm-deep 3	2
	Site 2 25cm-deep 1	2
	Replicate 2, dilution 8, run 1	2
	Replicate 2, dilution 9, run 2	2
	Replicate 2, dilution 9, run 1	2
	Control_replicate	2
	Site 2 15cm-deep 3	2
	Site 2 15cm-deep 2	2
	Site 2 15cm-deep 1	2
	Replicate 2, dilution 8, run 2	2
	Replicate 3, dilution 9, run 1	2
	Replicate 3, dilution 1, run 1	2
	Replicate 2, dilution 7, run 1	2
	Replicate 2, dilution 6, run 2	2
	Site 1 5cm-deep 3	2
	Replicate 2, dilution 6, run 1	2
	Site 1 5cm-deep 2	2
	Replicate 2, dilution 5, run 2	2
	Site 1 5cm-deep 1	2
soil	Cont	2
	Replicate 2, dilution 7, run 2	2
	Unfractioned, QIAamp Fast DNA Stool	2
	Replicate 3, dilution 4, run 2	2
	Replicate 3, dilution 8, run 2	2
	Replicate 3, dilution 8, run 1	2
	Replicate 3, dilution 7, run 2	2
	Replicate 3, dilution 7, run 1	2
	Replicate 3, dilution 6, run 2	2
	Replicate 3, dilution 6, run 1	2
	Replicate 3, dilution 1, run 2	2
	Replicate 3, dilution 5, run 2	2
	Replicate 3, dilution 5, run 1	2
	Site 1 15cm-deep 1	2
	Replicate 3, dilution 4, run 1	2
	Replicate 3, dilution 2, run 2	2
	Replicate 3, dilution 3, run 1	2
	Replicate 3, dilution 3, run 2	2
host-associated	KO 10w after separation	2
	Replicate 3, dilution 2, run 1	2
	duplicate sample(s):RTEF6643	1
	duplicate sample(s):RTEF6640	1
	duplicate sample(s):RTEF6641	1
	duplicate sample(s):RTEF6642	1
	Control_Group13	1
	duplicate sample(s):RTEF2672768	1
	duplicate sample(s):RTEF6637	1
	duplicate sample(s):RTEF6663	1
	duplicate sample(s):RTEF2672785	1
	duplicate sample(s):RTEF2672834	1
	duplicate sample(s):RTEF2685598	1
	duplicate sample(s):RTEF2685599	1
	duplicate sample(s):RTEF6639	1
	duplicate sample(s):RTEF6619	1
	duplicate sample(s):RTEF6620	1
	duplicate sample(s):RTEF6510	1
	duplicate sample(s):RTEF6614	1
	duplicate sample(s):RTEF6502	1
	duplicate sample(s):RTEF2672771	1
	duplicate sample(s):RTEF2672784	1
	duplicate sample(s):RTEF6537	1
	duplicate sample(s):RTEF6536	1
	duplicate sample(s):RTEF2672783	1
	duplicate sample(s):RTEF2672769	1
	duplicate sample(s):RTEF2672775	1
	duplicate sample(s):RTEF2672774	1
	duplicate sample(s):RTEF6511	1
	duplicate sample(s):RTEF2672773	1
	duplicate sample(s):RTEF6613	1
	Control_Group2	1
	duplicate sample(s):RTEF2685649	1
	full fluorescent light	1
	duplicate sample(s):RTEF2685919	1
	duplicate sample(s):RTEF343338	1
	duplicate sample(s):RTEF343339	1
	duplicate sample(s):RTEF540919	1
	duplicate sample(s):RTEF540918	1
	duplicate sample(s):RTEF343494	1
	filtered blue light	1
	filtered red light	1
	duplicate sample(s):RTEF540424	1
	duplicate sample(s):RTEF540423	1
	duplicate sample(s):RTEF343557	1
	duplicate sample(s):RTEF343495	1
	duplicate sample(s):RTEF343537	1
	DB1B	1
	Control_Group15	1
	duplicate sample(s):RTEF343538	1
	Control_Group16	1
	Control_Group9	1
	Control_Group8	1
	duplicate sample(s):RTEF343556	1
	Control_Group7	1
	Control_Group6	1
	Control_Group5	1
	Control_Group4	1
	Control_Group3	1
	Control_Group17	1
	Cynrig water (hatchery)	1
	DB2B	1
	duplicate sample(s):RTEF2685650	1
	duplicate sample(s):RTEF6461	1
	duplicate sample(s):RTEF6501	1
	duplicate sample(s):RTEF2685653	1
	duplicate sample(s):RTEF2685655	1
	duplicate sample(s):RTEF2685693	1
	duplicate sample(s):RTEF6664	1
	eggs	1
	DC1B	1
	DBF3F	1
	duplicate sample(s):RTEF6494	1
	duplicate sample(s):RTEF6475	1
	duplicate sample(s):RTEF2685744	1
	Control_Group14	1
	duplicate sample(s):RTEF6460	1
	duplicate sample(s):RTEF2685918	1
	duplicate sample(s):RTEF6457	1
	DBF2F	1
	duplicate sample(s):RTEF2685857	1
	duplicate sample(s):RTEF6392	1
	duplicate sample(s):RTEF6391	1
	Control_Group18	1
	duplicate sample(s):RTEF558557	1
	duplicate sample(s):RTEF540968	1
	duplicate sample(s):RTEF540967	1
	DBF1F	1
	DB3B	1
	duplicate sample(s):RTEF2685858	1
	duplicate sample(s):RTEF558558	1
	normal8	1
	Control_Group12	1
	open ambient bag 3 replicate 3	1
	open precipitation bag 2 replicate 2	1
	open precipitation bag 2 replicate 3	1
	open precipitation bag 3 replicate 1	1
	open precipitation bag 3 replicate 2	1
	open precipitation bag 3 replicate 3	1
	open precipitation bag 4 replicate 1	1
	open precipitation bag 4 replicate 2	1
	open precipitation bag 4 replicate 3	1
	open precipitation bag 5 replicate 1	1
	open precipitation bag 5 replicate 2	1
	open precipitation bag 5 replicate 3	1
	open precipitation bag 6 replicate 1	1
	open precipitation bag 6 replicate 2	1
	open precipitation bag 6 replicate 3	1
	open precipitation bag 7 replicate 1	1
	open precipitation bag 2 replicate 1	1
	open precipitation bag 1replicate 3	1
	open precipitation bag 1 replicate 2	1
	open ambient bag 6 replicate 2	1
	open ambient bag 4 replicate 2	1
	open ambient bag 4 replicate 3	1
	open ambient bag 5 replicate 1	1
	open ambient bag 5 replicate 2	1
	open ambient bag 5 replicate 3	1
	open ambient bag 6 replicate 1	1
	open ambient bag 6 replicate 3	1
	open precipitation bag 1 replicate 1	1
	open ambient bag 7 replicate 1	1
	open ambient bag 7 replicate 2	1
	open ambient bag 7 replicate 3	1
	open ambient bag 8 replicate 1	1
	open ambient bag 8 replicate 2	1
	open ambient bag 8 replicate 3	1
	open precipitation bag 7 replicate 2	1
	open precipitation bag 7 replicate 3	1
	open precipitation bag 8 replicate 1	1
host-associated	BMT_23ko_to_Ldlrko_PBS_cage_2	1
	Blank_1_cDNA	1
host-associated	BMT_wt_to_ldlrko_PBS_cage_1	1
	Blank_1_DNA	1
	Biomass charcoal	1
host-associated	BMT_wt_to_Ldlrko_PBS_cage_3	1
host-associated	BMT_wt_to_Ldlrko_PBS_cage_2	1
host-associated	BMT_23ko_to_Ldlrko_PBS_cage_1	1
	Blank_2_cDNA	1
host-associated	BMT_23ko_to_Ldlrko_PBS	1
	Bactera were grown in three minimal salt media supplemented with a single pollutant per mediun i.e., toluene, naphthalene and petrol	1
	stochastic cell encapsulation, growth medium	1
	Anaerobic Returned Sludge	1
	Ampicillin Induction	1
	Ampicillin Control	1
	Blank_2_DNA	1
	small subunit ribosomal RNA gene partial sequence; internal transcribed spacer 4 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 5	1
	open precipitation bag 8 replicate 2	1
host-associated	Group1-KO	1
	open precipitation bag 8 replicate 3	1
	CKD14	1
host-associated	Group3-Hetero	1
	pit B-1-9 fermentation day0	1
host-associated	Group2-KO	1
host-associated	Group2-Hetero	1
	CKD13	1
	CKD1	1
	room temperature	1
	CKD12	1
	CKD11	1
	CKD10	1
	sampling site (efo:EFO_0000688)	1
	selection for large multicellular size	1
	open ambient bag 4 replicate 1	1
	open ambient bag 3 replicate 2	1
	Control_Group11	1
	open ambient bag 3 replicate 1	1
	low temperature treatment10	1
	low temperature treatment11	1
	low temperature treatment12	1
	low temperature treatment13	1
	low temperature treatment14	1
	low temperature treatment15	1
	low temperature treatment16	1
	low temperature treatment17	1
	low temperature treatment2	1
	low temperature treatment3	1
	low temperature treatment4	1
	low temperature treatment5	1
	low temperature treatment6	1
	low temperature treatment7	1
	low temperature treatment8	1
	low temperature treatment1	1
	CKD8	1
	CKD9	1
	inoculum replicate 5	1
	Control_Group10	1
	Control_Group1	1
	inoculum replicate 1	1
	inoculum replicate 2	1
	inoculum replicate 3	1
	inoculum replicate 4	1
	inoculum replicate 6	1
	CNSS water (hatchery)	1
	inoculum replicate 7	1
	inoculum replicate 8	1
	internal transcribed spacer 4, ribosomal DNA, and internal transcribed spacer 5	1
	Contaminated Soil	1
	Ciprofloxacin Induction	1
	Ciprofloxacin Control	1
	low temperature treatment9	1
host-associated	KO 13w after separation	1
host-associated	KO 12w after separation	1
	not applicable	1
	normal3	1
	normal4	1
	normal5	1
	normal6	1
	normal7	1
	duplicate sample(s):RTEF2672730	1
	not known	1
	normal1	1
	open ambient bag 1 replicate 1	1
	open ambient bag 1 replicate 2	1
	open ambient bag 1replicate 3	1
	open ambient bag 2 replicate 1	1
	open ambient bag 2 replicate 2	1
	open ambient bag 2 replicate 3	1
	normal2	1
	CKD15	1
	medium/negative cotrol	1
	no lab treatment	1
	CKD7	1
	CKD6	1
	CKD5	1
	negative_DNA	1
	negative_cDNA	1
host-associated	Group4-WT	1
	no light	1
	CKD16	1
	CKD4	1
	CKD3	1
	CKD2	1
host-associated	Group3-WT	1
	CKD18	1
	CKD17	1
	duplicate sample(s):RTEF2672759	1
	closed ambient bag 7 replicate 1	1
	duplicate sample(s):RTEF2672729	1
	GA-CKD2	1
	GA-CKD7	1
	GA-CKD6	1
	GA-CKD5	1
water	Lysogenic virus induction (mitomycin C) from potentially pathogenic Vibrio parahaemolyticus VN-3218, isolated from North Sea. Reads from phage concentrate elution.	1
water	Lysogenic virus induction (mitomycin C) from marine Vibrio parahaemolyticus VN-3220. Reads from phage concentrate elution	1
water	Lysogenic virus induction (mitomycin C) from marine Vibrio parahaemolyticus VN-3212. Reads from phage concentrate elution	1
	Spey water (wild)	1
water	Lysogenic virus induction (mitomycin C) from marine Vibrio cholerae VN-3213. Reads from phage concentrate elution	1
	GA-CKD4	1
	GA-CKD3	1
	Sustaining Partial nitrification in a simulated case of salt intrusion into a coastal wastewater treatment plant	1
	GA-CKD9	1
	TB1B	1
	TB2B	1
	TB3B	1
	TBF1F	1
	TBF2F	1
	TBF3F	1
	GA-CKD18	1
	THP 12 g/kg	1
	THP 17 g/kg	1
	THP 22 g/kg	1
	GA-CKD8	1
	GA_Supplementation1	1
	THP 6.8 g/kg	1
	GA_Supplementation16	1
	GA_Supplementation9	1
	GA_Supplementation8	1
	GA_Supplementation7	1
	GA_Supplementation6	1
	GA_Supplementation5	1
	GA_Supplementation4	1
	GA_Supplementation3	1
	GA_Supplementation2	1
	GA_Supplementation18	1
	GA_Supplementation17	1
	GA_Supplementation15	1
	GA_Supplementation10	1
	GA_Supplementation14	1
	GA_Supplementation13	1
	GA_Supplementation12	1
	GA_Supplementation11	1
	Second gravity fraction, QIAamp DNA Stool	1
	Sediment 1	1
	Sediment 2	1
	Sediment 3	1
	Sediment LS9	1
	Serratia rubidaea MF8054 strain originally isolated from food processing factory	1
	THP 44 g/kg	1
	GA-CKD17	1
soil	ContVeg and Cont	1
	US3_9_cDNA	1
	US2_9_cDNA	1
	US2_DNA	1
	US2_cDNA	1
	US3_10_DNA	1
	US3_10_cDNA	1
	US3_11_DNA	1
	GA-CKD11	1
	US3_7.6_DNA	1
	US3_7.6_cDNA	1
	US3_9_DNA	1
	US3_DNA	1
	US2_7.6_cDNA	1
	US3_cDNA	1
	US4_10_DNA	1
	US4_10_cDNA	1
	US4_11_DNA	1
	US4_11_cDNA	1
	US4_7.6_DNA	1
	US4_7.6_cDNA	1
	US4_9_DNA	1
	US4_9_cDNA	1
	US4_DNA	1
	US2_9_DNA	1
	US2_7.6_DNA	1
	Third gravity fraction, QIAamp DNA Stool	1
	US1_10_cDNA	1
	Throughfall exclusion	1
	GA-CKD16	1
	GA-CKD15	1
soil	Veg	1
	Towy water (wild)	1
	GA-CKD14	1
	Tweed water (wild)	1
	GA-CKD13	1
	GA-CKD12	1
	US1_10_DNA	1
	US1_11_DNA	1
	US2_11_cDNA	1
	US1_11_cDNA	1
	US1_7.6_DNA	1
	US1_7.6_cDNA	1
	US1_9_DNA	1
	US1_9_cDNA	1
	US1_DNA	1
	US1_cDNA	1
	US2_10_DNA	1
	US2_10_cDNA	1
	US2_11_DNA	1
	Genome-MPET Library. 10000ng starting material, 15 PCR cycles	1
	Genome-MPET Library. 5000ng starting material, 13 PCR cycles	1
	Genome-MPET Library. 5000ng starting material, 15 PCR cycles	1
	HS4_DNA	1
	MHS water (hatchery)	1
	MT1	1
	MT2	1
	MT3	1
	Mitomycin C Control	1
	Mitomycin C Induction	1
	Month_19	1
	Month_20	1
	Month_26	1
	HS4_cDNA	1
	HS4_9_cDNA	1
	High carbon to nitrogen ratio	1
	HS4_9_DNA	1
	HS4_7.6_cDNA	1
	HS4_7.6_DNA	1
	HS4_11_cDNA	1
	HS4_11_DNA	1
	HS4_10_cDNA	1
	HS4_10_DNA	1
	HS3_cDNA	1
	HS3_DNA	1
	HS3_9_cDNA	1
	Low carbon to nitrogen ratio	1
	LXF3F	1
	Genome-PET Library. Genomic DNA extraction was done at GSC	1
	LKF2F	1
	LC1B	1
	LC2B	1
	LC3B	1
	LCF1F	1
	LCF2F	1
	LCF3F	1
	LK1B	1
	LK2B	1
	LK3B	1
	LKF1F	1
	LKF3F	1
	LXF2F	1
	LQ1B	1
	LQ2B	1
	LQ3B	1
	LQF1F	1
	LQF2F	1
	LQF3F	1
	LX1B	1
	LX2B	1
	LX3B	1
	LXF1F	1
	HS3_9_DNA	1
	HS3_11_cDNA	1
	HS3_11_DNA	1
	H-61	1
	HS1_11_cDNA	1
	HS1_11_DNA	1
	HS1_10_cDNA	1
	HS1_10_DNA	1
	1.0 L sample size	1
	H-73	1
	H-72	1
	H-71	1
	H-63	1
	H-62	1
	H-53	1
	HS3_10_cDNA	1
	H-52	1
	H-51	1
	H-43	1
	H-42	1
	H-41	1
	H-33	1
	H-32	1
	H-31	1
	Genome-PET Library. Genomic DNA was prepared by collaborator. with post PCR purification	1
	Genome-PET Library. Genomic DNA was prepared by collaborator	1
	Q9	1
	Q8	1
	Q7	1
	Q10	1
	Norfloxacin Control	1
	Norfloxacin Induction	1
	HS3_10_DNA	1
	HS2_cDNA	1
	HS2_DNA	1
	HS2_9_cDNA	1
	Oil Sludge	1
	HS2_9_DNA	1
	HS2_7.6_cDNA	1
	HS2_7.6_DNA	1
	HS2_11_cDNA	1
	HS2_11_DNA	1
	HS2_10_cDNA	1
	HS2_10_DNA	1
	HS1_cDNA	1
	HS1_DNA	1
	Parent EFO: http://www.ebi.ac.uk/efo/EFO_0001032. cDNA EFO: http://www.ebi.ac.uk/efo/EFO_0004187	1
	HS1_9_cDNA	1
	Polycaprolactone biodegradation experiment	1
	HS1_9_DNA	1
	Pressure	1
	US4_cDNA	1
	Unfractioned, QIAamp DNA Microbiome	1
	duplicate sample(s):RTEF2672721	1
	duplicate sample(s):RTEF2672394	1
	duplicate sample(s):RTEF2664747	1
	duplicate sample(s):RTEF2664748	1
	duplicate sample(s):RTEF2664758	1
	duplicate sample(s):RTEF2664759	1
	duplicate sample(s):RTEF2664786	1
	duplicate sample(s):RTEF2664797	1
	duplicate sample(s):RTEF2664806	1
	duplicate sample(s):RTEF2672333	1
	duplicate sample(s):RTEF2672366	1
	duplicate sample(s):RTEF2672367	1
	duplicate sample(s):RTEF2672395	1
	duplicate sample(s):RTEF2664742	1
	duplicate sample(s):RTEF2672433	1
	duplicate sample(s):RTEF2672435	1
	duplicate sample(s):RTEF2672436	1
	duplicate sample(s):RTEF2672437	1
	duplicate sample(s):RTEF2672438	1
	duplicate sample(s):RTEF2672439	1
	duplicate sample(s):RTEF2672440	1
	duplicate sample(s):RTEF2672461	1
	duplicate sample(s):RTEF2672463	1
	duplicate sample(s):RTEF2672466	1
	duplicate sample(s):RTEF2664743	1
	duplicate sample(s):RTEF2664737	1
	duplicate sample(s):RTEF2672492	1
	duplicate sample(s):RTEF2664695	1
	duplicate sample(s):RTEF2664601	1
	duplicate sample(s):RTEF2664602	1
	duplicate sample(s):RTEF2664622	1
	duplicate sample(s):RTEF2664623	1
	duplicate sample(s):RTEF2664666	1
	duplicate sample(s):RTEF2664667	1
	duplicate sample(s):RTEF2664689	1
	duplicate sample(s):RTEF2664690	1
	duplicate sample(s):RTEF2664691	1
	duplicate sample(s):RTEF2664694	1
	duplicate sample(s):RTEF2664696	1
	duplicate sample(s):RTEF2664736	1
	duplicate sample(s):RTEF2664697	1
	duplicate sample(s):RTEF2664700	1
	duplicate sample(s):RTEF2664701	1
	duplicate sample(s):RTEF2664702	1
	duplicate sample(s):RTEF2664703	1
	duplicate sample(s):RTEF2664706	1
	duplicate sample(s):RTEF2664712	1
	duplicate sample(s):RTEF2664718	1
	duplicate sample(s):RTEF2664719	1
	duplicate sample(s):RTEF2664725	1
	duplicate sample(s):RTEF2672467	1
	duplicate sample(s):RTEF2672493	1
soil	ContVeg	1
	duplicate sample(s):RTEF2672651	1
	duplicate sample(s):RTEF2672628	1
	duplicate sample(s):RTEF2672629	1
	duplicate sample(s):RTEF2672634	1
	duplicate sample(s):RTEF2672635	1
	duplicate sample(s):RTEF2672638	1
	duplicate sample(s):RTEF2672639	1
	duplicate sample(s):RTEF2672641	1
	duplicate sample(s):RTEF2672642	1
	duplicate sample(s):RTEF2672649	1
	duplicate sample(s):RTEF2672650	1
	duplicate sample(s):RTEF2672657	1
	duplicate sample(s):RTEF2672596	1
	duplicate sample(s):RTEF2672659	1
	duplicate sample(s):RTEF2672660	1
	duplicate sample(s):RTEF2672675	1
	duplicate sample(s):RTEF2672676	1
	duplicate sample(s):RTEF2672700	1
	duplicate sample(s):RTEF2672701	1
	duplicate sample(s):RTEF2672714	1
	duplicate sample(s):RTEF2672715	1
	duplicate sample(s):RTEF2672716	1
	duplicate sample(s):RTEF2672720	1
	duplicate sample(s):RTEF2672597	1
	duplicate sample(s):RTEF2672592	1
	duplicate sample(s):RTEF2672495	1
	duplicate sample(s):RTEF2672522	1
	duplicate sample(s):RTEF2672496	1
	duplicate sample(s):RTEF2672510	1
	duplicate sample(s):RTEF2672511	1
	duplicate sample(s):RTEF2672512	1
	duplicate sample(s):RTEF2672513	1
	duplicate sample(s):RTEF2672515	1
	duplicate sample(s):RTEF2672516	1
	duplicate sample(s):RTEF2672518	1
	duplicate sample(s):RTEF2672519	1
	duplicate sample(s):RTEF2672521	1
	duplicate sample(s):RTEF2672530	1
	duplicate sample(s):RTEF2672591	1
	duplicate sample(s):RTEF2672531	1
	duplicate sample(s):RTEF2672534	1
	duplicate sample(s):RTEF2672535	1
	duplicate sample(s):RTEF2672558	1
	duplicate sample(s):RTEF2672559	1
	duplicate sample(s):RTEF2672564	1
	duplicate sample(s):RTEF2672566	1
	duplicate sample(s):RTEF2672569	1
	duplicate sample(s):RTEF2672574	1
	duplicate sample(s):RTEF2672575	1
	duplicate sample(s):RTEF2664595	1
	duplicate sample(s):RTEF2664586	1
	duplicate sample(s):RTEF2664585	1
	closed ambient bag 2 replicate 2	1
	arch_amoA_DNA_neg	1
	arch_amoA_cDNA_neg	1
	FJ3	1
	FJ2	1
	FJ1	1
	channel under hydraulic retention time of 200 min	1
	closed ambient bag 1 replicate 1	1
	closed ambient bag 1 replicate 2	1
	closed ambient bag 1replicate 3	1
	closed ambient bag 2 replicate 1	1
	closed ambient bag 2 replicate 3	1
	ZQF2F	1
	closed ambient bag 3 replicate 2	1
	closed ambient bag 3 replicate 3	1
	closed ambient bag 4 replicate 1	1
	closed ambient bag 4 replicate 2	1
	closed ambient bag 4 replicate 3	1
	closed ambient bag 5 replicate 1	1
	closed ambient bag 5 replicate 2	1
	closed ambient bag 5 replicate 3	1
	closed ambient bag 6 replicate 1	1
	closed ambient bag 6 replicate 2	1
	ZQF3F	1
	ZQF1F	1
	duplicate sample(s):RTEF2664568	1
plant-associated	kelpsurface_presentday	1
	Urban River Sediment	1
	GA-CKD10	1
	WL1	1
	WL2	1
	WL3	1
	WY1	1
	WY2	1
	WY3	1
	GA-CKD1	1
	Frome water (wild)	1
	XOS2	1
	ZQ3B	1
	XOS3	1
	XOS4	1
	XOS5	1
	XOS6	1
	XOS7	1
	XOS8	1
	First gravity fraction, QIAamp DNA Stool	1
	Filtered	1
	ZQ1B	1
	ZQ2B	1
	closed ambient bag 6 replicate 3	1
	closed ambient bag 7 replicate 2	1
	closed ambient bag 7 replicate 3	1
	DCF2F	1
	closed precipitation bag 8 replicate 3	1
	DSF3F	1
host-associated	WT 9w after separation	1
host-associated	WT 8w after separation	1
	DSF2F	1
	DSF1F	1
	DS3B	1
	DS2B	1
	DS1B	1
	DCF3F	1
	DCF1F	1
	closed ambient bag 8 replicate 1	1
	DC3B	1
host-associated	WT 11w after separation	1
	DC2B	1
	duplicate sample(s):RTEF1562759	1
	duplicate sample(s):RTEF2447791	1
	duplicate sample(s):RTEF2664540	1
	duplicate sample(s):RTEF2664546	1
	duplicate sample(s):RTEF2664549	1
	duplicate sample(s):RTEF2664550	1
	duplicate sample(s):RTEF2664560	1
	closed precipitation bag 8 replicate 2	1
	closed precipitation bag 8 replicate 1	1
	closed precipitation bag 7 replicate 3	1
	closed precipitation bag 7 replicate 2	1
	closed ambient bag 8 replicate 2	1
	closed ambient bag 8 replicate 3	1
	closed precipitation bag 1 replicate 1	1
	closed precipitation bag 1 replicate 2	1
	closed precipitation bag 1replicate 3	1
	closed precipitation bag 2 replicate 1	1
	closed precipitation bag 2 replicate 2	1
	closed precipitation bag 2 replicate 3	1
	closed precipitation bag 3 replicate 1	1
	closed precipitation bag 3 replicate 2	1
	closed precipitation bag 3 replicate 3	1
	closed precipitation bag 4 replicate 1	1
	closed precipitation bag 4 replicate 2	1
	closed precipitation bag 4 replicate 3	1
	closed precipitation bag 5 replicate 1	1
	closed precipitation bag 5 replicate 2	1
	closed precipitation bag 5 replicate 3	1
	closed precipitation bag 6 replicate 1	1
	closed precipitation bag 6 replicate 2	1
	closed precipitation bag 6 replicate 3	1
	closed precipitation bag 7 replicate 1	1
	US3_11_cDNA	1
