env_package	samp_collect_device	count
	filtered through 0.22 µm PVDF filters (Millipore, Burlington, MA)	20
	ponar	20
	surgical material	20
	10 mL falcon tube	20
	flame serilized razorblade	20
	Sterile Gloves	20
	mat removed from cores	19
	Niskin_bottle	19
	Necropsy of mouse cecum	19
	Prior obturation	19
	ROV manipulator arm	19
	200 micron plankton net	19
	Malaise trap	19
	GF Filter	19
	Peristaltic pump	19
	Sterivex (Millipore) 0.22um filter	19
	buccal swab	19
	Control 1	19
	uterine sampling swab (Minitube)	19
	sterile cotton pledget	19
	corneal scrapings	19
	foliage stored in plastic bag and cooled	19
	sterile inoculating loop scraping	19
	Gravity corer (Limnos)	19
	freeze corer	19
	Sterilized drill	19
	Diving	19
water	submersible electric pump	19
	slow cont pumping, anaerobic cabinet, sterile bottle, filtration	18
	Fecal collection container	18
	Using a stomach tube connected to a hand held pump	18
	36,000 Liter of surface sea water broght by ship and equally distributed between 12 mesocosms	18
	25L Jeri cans	18
water	filtration using peristaltic pump	18
	Endometrial guarded swab	18
	organisms collected, stored in ethanol at -20 degrees C, shell milled with dremel diamond wheel bit, enzymatic lysis with proteinase k, then PCI extraction, v3-v4 2x300 bp sequencing on Illumina Miseq. Pooled samples are 6 individuals combined	18
	Kajak Model B sediment corer	18
	Jenkins Corer	18
	Prior tooth chemomechanical preparation	18
	Synthetic lure in red cup trap containing propylene glycol	18
	Dissection and aspiration	18
	shrimps were randomly captured and intestine was sampled	18
	Quercus robur root sample from Ancient forest	18
	Polyp tissue biopsy	18
	tube and filtration	18
	Frozen Fresh	18
	Grid mathod for sample collection	18
	SBE32 Carousel water sampler or a Niskin bottle	18
	Wet collector	18
	Four different fermentation times	18
	hand collection	18
	Coagulation	18
	sterile forceps ad scissors	18
	sterile plastic container	18
	Mini-Glew gravity corer 2	18
	Mini-Glew gravity corer 1	18
	2ml microcentrifuge tubes	18
soil	N/A	18
	geese caecum	18
	gastric lavage	18
	0.2 micron filter	18
	sterile metal spoon excavator	18
	CTD collection or carboy collection, prefiltration of seawater, collected onto 0.7um filter	18
	remotely operated verhicle (ROV) 'Tiburon'	18
	Net haul	18
	Shoveling	18
	Sterile glass bottles.	18
	Niskin bottle mounted to ROV; filtered onto 0.2um sterivex	18
	Centrufugation to collect biomass for DNA extraction	18
	Sterile water was flushed onto the mucosa to remove the loosely adherent mucosal layer. The resulting mixture was aspirated into a sterile container through the colonoscope	18
	bucket with rope	18
water	Niskin	18
	five 1x1x2 cm cores, pooled	18
	Bucket on a string	18
	NULL	18
	funnel	17
water	Utube	17
	Hand	17
	Limnos water sampler	17
	FACS_IgA-negative_rep_2	17
	cotton wool swab	17
	Eckman dredge	17
	sterile_swab_of_petri_dish	17
	hand collected via SCUBA	17
	Dissected insect guts	17
sediment	drill core	17
	Catch-All Cotton Swab (Epicentre)	17
	A 10x1x1 meter trench was excavated, samples were collected using cutoff 5 mL syringes exuded into 15 mL Falcon tubes, immediately frozen on dry ice, and stored at -80C (Vertical)	17
	Plankton were collected on a 5 µm filter	17
	plastic vessel	17
	bronchoalveolar lavage	17
	DNA isolation	17
	nylon screen sampler	17
	Sterile_forceps_and_bag	17
	Sterile disposable syringe	17
	2 L acid washed bottle	16
host-associated	Not available	16
	drilling core	16
	ROV grab	16
	Filtered water	16
	25 mm diameter stainless steel Hoffer tube sampler	16
	samples collected from microcosms	16
	decantation after stirring with seawater	16
	Quercus robur root sample from Recent isolated forest	16
	Quercus robur root sample from Recent connected forest	16
	bottle from shore	16
	slow cont pumping	16
	boxcore	16
	Washing and sonication bath	16
	Nylon Swab	16
water	surface water collection of Baltic Sea Water	16
	esophageal tubing and snap-frozen in liquid nitrogen	16
	Sterile plastic containers	16
	Bottle 1	16
	Bottle 2	16
	25 x 120 mm soil corer	16
	via fistula	16
water	Hydrothermal fluid particle sampler (HFPS)	16
	High volume sampling	16
	Niskin (orig)	16
	In each plot (1m2), five crops (S distribution) were selected and mixed together as one sample. Soil samples (approximately 0-20 cm in depth) were collected along with the roots.	16
	Synthetic lure in red cup trap	16
	sterile operation, quick-freeze	16
	Bottle 3	16
human-gut	brush	16
	snap froze ceca using liquid nitrogen	16
	Stainless steel rosette sampler	16
	Scooping	16
	Isobaric Gas-Tight Sampler	16
	30 liter Niskin bottle	16
	10% V/V DNA/RNA Shield, Zymo Research	16
human-gut	biopsy	16
	RoCSI	16
	Stainless-steel stomach tube	16
	reactor circulation outlet	16
	Sterile 8.0 mm Uni-Core sampler	16
	autoclaved nalgene or glass bottles	15
	collection 4°C	15
	15 cm diameter peat auger	15
	soil clinging to plant roots	15
	Inline sampler	15
	filtration through a glass fibre pre-filter (1.6 um nominal pore size) onto a 0.22 um, polyethersulfone membrane (Millipore Sterivex) filter unit	15
	Soil collected from rhizosphere	15
	Microcosm (Hungate tubes crimp-sealed with a rubber stopper) was subsampled using an 1 ml sterile syringe and 20G needle	15
	Limnos water sampler 7L	15
	pasteur pipette into 2mL microcentrifuge tube	15
	filtration in 0.2 um Sterivex filters	15
	Grab Sampling with 1L sterilized nalgene bottle	15
	70ml plastic container	15
	soil cores	15
	cast net	15
	Aspi (ROV suction device)	15
	electroshocking, manual picking from rocks in stream	15
	filtered 0.22um	15
	gravity coring device	15
	ISP	15
	PCR blank	15
	capillary tube	15
	Amies charcoal cotton swab	15
	5L VanDorn sampler, filtered in 2um filters and 0.45u sterivex filter	15
	Scoop	15
	Adapted Harvard	15
	Forcep	15
	Scalpel dissection of 3mm tiller crown	15
	excavation via trowel	15
	uterine sampling swab (Harvet)	15
	polypropylene tubes	15
	NoSol	15
	Lab	15
	neuston net	15
	stomach tube attached to an electric pump	15
	amended without sulfadiazine	14
	Surgical ablation	14
	sterivex	14
	biological replicate 3	14
	hand grab	14
	beadbeating phenol-chloroform extraction, Illumina MiSeq sequencing of 16s (V4) rRNA gene region of bacterial DNA	14
	biological replicate 1	14
	induced sputum	14
	Aseptic insulated cool container	14
	Serial dilution	14
	direct tube transfer	14
	Wet deposition	14
	Tangential flow filtration	14
	4 composite soil cores, diam. 5 cm	14
	endoscopic biopsy	14
miscellaneous natural or artificial environment	bottle	14
	TAO brush	14
	manipulator arm on ROV JASON	14
	10 cm diameter x 5 cm deep keyhole saw	14
	biological replicate 2	14
	PTFE diaphragm pump	14
	Free-living fraction	14
	Insects were collected with nets on a surface of 100m2/samples in both crop and meadow. Samples were maintained and transported on ice to the lab and stored at -80C until processing.	14
	Barcode	14
	0.45 μm filters inside a 90 mm single stage filter assembly	14
	Ruttner sampler	14
	QIAamp DNA Microbiome Kit	14
	Sponge and Swab into Sterile bags	14
	Eswab	14
	manual sampling using sterile auger	14
	15 ml corning tube	14
	other	14
	extracted plasmid DNA	14
	uprooting and collecting the soil around roots	14
	CTD Rosette Sampler	14
	Particule fraction	14
	scoopula	14
	Membrane filter	14
	manual isolation	14
	Stream incubated fine mesh leaf-litter packs	14
	pumped through tygon tubing	14
	fecal collection bucket	14
water	retentate of ultrafiltrated river water mixed with Baltic Sea Water	14
	Pipette P1000	14
	Niskin sampling <30 min filtration	13
water	Environmental Sample Processor	13
	Instead Softcup (Menstrual Cup)	13
	collected in sterile bag and conserved at -4 C until processing the next day	13
	Swab scraping from annular biofilm reactor	13
	1L HDPE	13
	Collected using a piezometer set at up to 30cm depth into sediment	13
	Syringe core	13
	biomass	13
	discrete sampler	13
	nucleator	13
	dregde	13
	50 ml Disposable Soil Core Sampler	13
	syringe cores	13
	Remotely operated vehicle manipulator	13
	Raw sediment	13
	Environmental Sample Processor	13
	Soil samples were collected from the top soil, up to 20 cm.	13
	Rumen cannula	13
	direct collection of filter material	13
	Niemistö corer	13
	Ruminal fluid was obtained by ruminocentesis	13
	['Collected with a peristaltic pump and filtered onto a 0.22 micron pore size Sterivex filter (Millipore)', '']	13
	bottles	13
	9cm diameter ice corer	13
	A 10x1x1 meter trench was excavated, samples were collected using cutoff 5 mL syringes exuded into 15 mL Falcon tubes, immediately frozen on dry ice, and stored at -80C (High core)	13
	SAS	13
	method	13
	cap-type water extractor (QCCC-5 Version)	13
	Lindgren funnel trap baited with ethanol	13
water	0.22 um filtrated river water mixed with untreated Baltic Sea Water	13
	filtered produced water	13
	electrostatic cloth	13
	Scraping colonization zone	12
	filter holder connected to soil tube	12
	Control	12
	fouling control coated frame	12
	CORK	12
	pooled intestine of two individual from a common tank	12
	A cutting ring	12
	amended with 1 mg/kg sulfadiazine	12
	amended with 10 mg/kg sulfadiazine	12
	CTD/Rosette (CTD-RO)	12
	30 mL serological pipette	12
	tissue samples	12
sediment	syringe	12
	bailer	12
	sterile isolator with permanent rumen plastisol cannula	12
	functional endoscopic sinus surgery	12
	free flow	12
	flush water on 0.2 µm filter	12
	blender processing	12
	CTD collection	12
	Metagenomic sequencing	12
	Marine_snow_catcher_Non-sinking	12
	soilcorer	12
	Marine_snow_catcher_Fast-sinking	12
	10 x random soil cores (20 cm depth x 3 cm diameter) per replicate (~1.5kg).3 replicates per treatment	12
	North Pacific Standard Plankton Net (0.335 mm mesh size)	12
	CO2 for anesthetize with cervical dislocation, cecum removed and flash frozen in liquid nitrogen	12
	CDC Mini Light Trap	12
	Cloacal Swab (Eswab)	12
	Niksin	12
	Manual sampling	12
	Seepage Metre	12
	Sediment_core	12
	premoistened cotton swab	12
	spatial repetion3 in Experimental plantation	12
	spatial repetion2 in Experimental plantation	12
	spatial repetion1 in Experimental plantation	12
	Biofim scraping	12
	Bio-trap	12
	field	12
	The topsoil samples were collected in the rainy and dry seasons of 2018. Topsoil samples were randomly collected in five different subplots per plot to reduce the effect of soil heterogeneity and pooled (avoiding roots) into a single composited and representative sample of each of the three plots per treatment	12
	surface snow	12
water	niskin bottle	12
	Water and Microplankton Sampler	12
	Anoxic sterile media bottle	12
	Precipitation Gauge	12
	Top 2cm of surface sediment with trowel	12
	Pouring into sterile bottle	12
	excavating roots to collect adhering soil	12
	vibrating corer	12
	Handheld 130 _m net	12
	DNA was extracted from 10 mL of microalgal culture filtered through 47 mm diameter, 0.45 µm pore-size, mixed cellulose ester filters (Advantec) under 45 mm Hg negative pressure	12
	Illumina sequencing	12
	enzyme digestion	12
miscellaneous natural or artificial environment	sterivex filter	12
	sample bottle filled at river shore	12
microbial mat_biofilm	missing	12
	Drilling rig URB-4T	12
	sediment trapping device	12
	2.0 cm diameter soil corer to a depth of 7.5 cm	12
	For diving	12
	Underlying water	12
	direct collection	12
	Filtration on 0.2 um filter	12
	RNA-seq	12
	drilling, sedimentary sample	12
	dremel with diamond blade	12
	Rhizosphere	12
	Rhizosphere soil samples were composite sample of root surface soil and soil around the roots. Briefly, harvested roots were vigorously shaken to remove loose soil	12
	nasal swab	12
sediment	Ponar	12
	oropharyngeal swab	12
	0.2 um, 47mm filter	12
	Ariane_HROV_Ifremer_Core	12
	airtight plastic container	12
	sterivex1	12
	snap freezing in liquid nitrogen	12
	Sampled in the field directly into liquid N2	12
	Kitahara Quantitative Plankton Net (0.10 mm mesh size)	12
	Sputocol	12
	Samples were obtained by drilling a 5 mm diameter hole to a depth of 10 to 15 cm with a sterilized hand brace drill	12
	7 cm core	12
	PVC Tubes	12
	Pail, sterile 5L Schott bottles, Ice box, Ice and Course salts	12
	ladle	12
host-associated	Coral tissue airbrushed with artificial sea water, tissue slurry filtered through 100uM, then 3uM and microbial cells pelleted with centrifuge	12
	female	12
	Particle interceptor trap system with polyacrylamide gel	12
	Spoon	11
	water samples were filtered on 0.22um filters	11
	Box Core	11
	Collection of total rhizospheric soil derived from the experiment unit	11
	Oral stomach tube	11
	Rosette of 20L niskin bottles	11
	Cotton swab of leaf	11
	Qiagen DNeasy PowerSoil Kit	11
	Dry deposition	11
	Liquid Nitrogen Fresh Frozen	11
	Lindgren funnel trap baited with ethanol + alpha-pinene	11
	5 cm internal diameter soil auger, with 1 sample at the centre and 4 at 4 equidistant points at the perimeter of the 10 m x 10 m area chosen	11
	0.65 micron filter	11
	Corer, Box (BC)	11
	soil core sampler (manual, Giddings Machine company)	11
	Niskon bottle	11
	5	11
	Filtered water collected with peristaltic pump and piezometer	11
	ROV Victor 6500	11
	glass microscope slide	11
	Isohelix swab	11
	Filter blank	11
	50 mL sterile Falcon tubes	11
	Moss collected with gloved hand	11
	9	11
	Regular flocked swabs (Eswab, Copan, Murrieta, CA, USA) were used for cloacal swabs as part of gastrointestinal microbial and viral analysis from penguins. The swabs were stored in 1 ml of liquid Amies medium.	11
	Remotely operated vehicle	11
	10L container	11
	Trap 1	11
	Zip-lock bag on ice	11
	6	11
	DNA extracted from leaf tissue	11
	Hand auger	11
	metal scraper	11
	sterile ziploc bag	11
	Polymer swab of leaf	11
	Throughfall water collector	11
	Collected into a 10L carboy dipped below the surface near the right bank of the river channel	11
	Powersoil DNA	11
	8	11
	Leaf cutter	11
	7	11
	In sterile polypropylene bottles	11
	Sterile trowell and spatules	11
	manual under hygenic connditions	11
	filtration, 0.22 µm pore size	11
	Water sample	11
	DNA	11
	Phytoplankton net	11
	Incubation fluid filtered onto 0.2um filter	11
	750 mL fluid collected into sterilized glass bottle in field, then concentrated on filter in lab	10
	dredge	10
	snorkel	10
	Surface scoop	10
	4	10
	collected	10
	3	10
	Filtered after 1.2 m membrane	10
	ethanol-treated aluminum coring devices	10
	Filtered after 0.22 m membrane	10
	Fungal mock community added to DNA extraction	10
	Filtered after 5 m membrane	10
	Tullgren funnel	10
	Fresh leaves plucked from tree	10
	Loose leaf litter	10
	shinkai_submersible	10
	12L Niskin bottles mounted on a CTD rosette	10
	Gloved hands were used to remove Cladophora from submerged breakwalls or rocks.	10
	Drum sampler	10
	broth sample aliquote	10
	Sterile spatulas, zip pack, tubes, gloves	10
	borehole	10
	Sterile, degassed sytinge and needle	10
	Cystocentesis	10
	Sterile bottle	10
human-gut	Biopsy	10
	5L VanDorn sampler, filtered in 2um filters and 0.22um sterivex filter	10
	Grab bucket	10
	whitefly adults during their feeding periods were manually realized with the aid of aspiratesystem	10
	Sterile Schott bottle	10
	colonoscopy	10
	cell culture	10
	cell scraper	10
	11	10
	1	10
	Scraper-flocked swab method	10
	Mouth aspirator	10
	manual collection	10
	Without filtered	10
	Wide mouth white bottle	10
	hand collection with shovel and sieve	10
	Niskin rosette	10
	Vacuuming floor dust through sterile filter cassettes	10
	Bacterial mock community added to DNA extraction	10
	10	10
	net-tow	10
	2.5 cm diameter core	10
	RNALater	10
	Multi-Corer (MUC), research expedition M139	10
	PowerMax DNA Isolation Kit (MoBio)	10
	2	10
	sterile wooden spatula	10
	sterile, DNA-free standardized paper points	10
	sterile plastic bottle	10
	Peristaltic pump	10
sediment	Multicorer	10
miscellaneous natural or artificial environment	The kimchi contents were ?ltered through                     three layers of coarse gauze (Daehan, Republic of                     Korea) to remove only large kimchi particles, and                     the ?ltrates were pooled. The pH of each ?ltrate                     was measured immediately, and the ?ltrates were                     centrifuged (8,000 rpm for 20min at 4C) to harvest                     microorganisms. The pellets and supernatants were                     stored at 80°C for extraction of bulk genomic DNA                     and metabolite analysis, respectively.	10
	sterile surgical glove	10
soil	2cm diameter t-bar core	10
	Biopsy forceps through endoscope during colonoscopy	10
	Soil DNA extraction	10
	20 g soil sample collected with sterile spatula	10
host-associated	Manned submersible	10
	2 layer	10
	Sampling from the medium	10
	Shit cup	10
	normal	10
sediment	Steril plastic containier (Falcon tube 50 ml)	10
	Screw cap tubes, liquid nitrogen frosting	10
	pumped through inline 0.45um polycarbonate filter	10
	SBE 32 Carousel water sampler or a Niskin bottle	9
	metallic gravity scoop	9
	DSV Alvin	9
	Power Soil, Qiagen	9
	GRAB	9
water	N/A	9
	Grab Sampler	9
	kajak gravity corer	9
	Single cell sorting and whole genome amplification	9
	Fresh frozen	9
	Fungal cultures from trees	9
	Water sample Colllected using Niskin Sampler	9
	Volumetric Spore Trap (Hirst)	9
	Plankton net	9
	Sterilin	9
	Lyophilized	9
	Supragingival biofilms were collected from teeth on the rght and left side in two consecutive days using curettes.	9
	['Collected by vigorously shaking several biofilm-coated grass blades in 0.2um filtered stream water in 50ml sterile plastic tubes, removing grass blades, and centrifuging at 5000 x G for 10 minutes in 50 ml conical bottom tubes', '']	9
	filter (0.22 um MF-Millipore MCE membrane filter)	9
human-gut	Self-collected	9
	online shopping	9
water	CTD/Niskin	9
	liquid sample collected from bioreactor	9
	Body Wall Biopsy Punch	9
	falcon tube	9
	Cylindrical mud	9
	0.3 g of soil was sampled into a 1.5 mL of Eppendorf tube	9
	Collected into a bucket as water exited a flume constructed to channel the stream.	9
	Bare-fallow, arable and grassland plots on the Highfield/Geescroft site of Rothamsted farm were arranged in a replicated randomized block design to provide three plots for each treatment. All plots except those remaining as permanent grassland were ploughed (standard depth, 23 cm) a few days prior to sampling. Three randomly assigned grid areas were sampled to 10 cm depth using a 3 cm dia. corer with the top 2 cm containing plant detritus discarded. Ten cores for each grid area were pooled and thoroughly mixed and sieved through 2 mm mesh; samples were then processed immediately (e.g. for dry weight estimations) or frozen at −80 °C for subsequent analysis	9
	poured off from reactor	9
	powersoil kit	9
	esophageal probe	9
	SKC	9
	van Dorn bottle	9
	1-liter PYREX wide-mouth jars	9
	Tapping off the leaves	9
	2 meter net tow, 700 micron mesh	9
	Silicone Tubes	9
	Ekman sediment sampler	9
	MoBio PowerSoil DNA kit	9
	whole fish homogenization	9
	puncture	9
	zig-zag	9
	Multi-Corer (MUC), research expedition SO237	9
	10cm deep sediment extraction	9
	F_Trap-3	9
	F_Trap-6	9
	autonomous deep-ocean lander vehicle	9
	F_Trap-9	9
	replicate = biological replicate 2	9
miscellaneous natural or artificial environment	Dip net	9
	Soil corer (10 cm diameter and 10 cm depth)	9
	replicate = biological replicate 1	9
	remotely-operated vehicle (ROV)	9
	replicate = biological replicate 3	9
	netted from fruit bait	8
	spatial repetition 1 in Natural forest	8
	Sediment from in situ microcosms	8
	spatial repetition 2 in Natural forest	8
	spatial repetition 5 in Natural forest	8
	spatial repetition 3 in Natural forest	8
	spatial repetition 4 in Natural forest	8
	Fifty grams of samples was placed into a sterile 500 mL Erlenmeyer flask containing 200 mL of phosphate buffered solution (PBS) and agitated for 10 min. After filtering by sterile gauze to remove the chopped pepper, and the filtered solution was centrifuged at 12000 g for 10 min to harvest the bacteria.	8
	under antibiotics stress	8
	Plastic bag	8
	Plastic pipeA	8
	Manual collection sterile spatula and forceps	8
	Plastic pipeB	8
	tube/beaker immersed in wastewater	8
	environmental swab	8
	trowell	8
	Sediment collected with shovel from top layer of reef	8
	Filtering between 3um and 0.22um	8
	Bal-chatri	8
	gravitycore	8
	FastDNA SPIN Kit for Soil	8
	20 m mesh plankton net	8
	0.22um Sterivex Filter	8
	Large and small intestines	8
	Mini soil auger	8
	anaerobic chamber	8
	unsorted_rep_2	8
	sterile plastic bags	8
	KPBT buffer + sonication	8
	50L container	8
	grab samples	8
	macroscope	8
	KPBT buffer + shaking	8
	manual auger	8
	BiSKit	8
	0.22um filter membrance	8
	Whole bat was provided, intestines were disected to extract guano sample	8
	5000	8
sediment	30 cc syringe corer	8
	gravimetric sampler (ENCO PM, TCR TECORA) with a PM10 inlet	8
	Autoclaved collecting jar	8
	Geoprobe	8
	2L bioreactor	8
	individual mucus sampling in isolator	8
	membrane filter	8
	by hand	8
	deployment	8
	digging with a shovel	8
	Sterile hermetic glass container	8
	rocks scrubbed with toothbrush	8
	removal of bulk soil (shaking), separation of roots from soil, homogenization of rhizosphere soil before sampling	8
water	tow net	8
	Trap 2	8
	Wash by detergent and sonication	8
	samples collected from enrichment culture	8
	Vanveen Grab sampler	8
	Mechanical pump	8
	Gemax twin-barrel short gravity corer	8
	pellet (0483E7 Epower) suspension in buffer from kit	8
	Dissecation	8
	puch cores	8
	Aseptic dissection of GI tract and microbial DNA isolation	8
	SCUBA Diving and coral tissues removed by airblowing at surface	8
	12	8
	Sterile Rock Scrub	8
	Quarter	8
	Cells retained on 0.2 um filter was used for DNA extraction	8
water	333 µm neuston net	8
	Coffee can on a pole	8
	sterile flasks	8
	Tree climber	8
	0.2 μm sterile nitrocellulose filter	8
	Multi-State Sediment Sampler, Art's Manufacturing and Supply, Inc.; American Falls, ID, USA	8
	2 L PE bottle	8
	benthic lander	8
	Portable pump from boat	8
	Groundwater filtration	8
	RNA isolation	8
	feces	7
	F_Trap-bl	7
	13	7
	5 cm diameter auger	7
	surface water	7
	fecal swab	7
	0.45 μm pore filter, 250 mL	7
	Fecal	7
	Kraken II ROV	7
	Batch experiments amended with TCE, lactate, vitamin B12 and exposed to varying concentrations of perfluoroalkyl acids	7
	Van Veen grab sampler	7
	Funnel	7
	Handpicked by wearing nylon gloves	7
	Filtration of water	7
	44	7
miscellaneous natural or artificial environment	Anaerobic Sample collection (Nalgene bottles filled till brim)	7
	Hand trowel, post hole digger, HiDispo sterile bag (HiMedia)	7
	Advanced Piston Core	7
	sea ice corer	7
	SUPR sample collected to bag via ROV, filtered shipboard	7
	ROV/KIPS	7
	Remotely operated vehicle suction sampler	7
	22	7
	Representative samples were made out of six samples, three from a dilution of 10-1 and three from a dilution of 10-2	7
	3G ESP	7
	ZymoBIOMICS Microbial Community Standard	7
	scraped from surface	7
	DD	7
	500 grams of samples beans cocoa were collected during spontaneous cocoa beans fermentation in different time from process, at 2nd, 4th and 6th days of fermentation	7
	sampling trench	7
	Crewed submersible	7
	Eight-stage Andersen AN-200 samplers	7
	sub-sampling	7
	Amber bottle	7
	negative control	7
	puchcore sediment 2-4 cm	7
	Lindgren funnel trap baited with Ips typographus lure	7
	automatic sampler	7
	CTD_AFIS	7
	puchcore sediment 6-8 cm	7
	Serum sample	7
	Smith-McIntyre Grab	7
	collection of the M_chips with chip	7
	NA	7
	box correr	7
	Nalgene MF575 filter	7
	14	7
	pumped through inline 0.22um polycarbonate filter	7
	Manual auger	7
	Collected into 50 mL scintillation vials	7
	Sterivex filter (Millipore 0.2 µm)	7
	By hand	7
	advanced piston core	7
	pipettes	7
	No-template negative control	7
	['Collected by dipping a 2L amber bottle below the stream surface being careful not to disturb sediments or biofilms, and filtering onto a 0.22 micron pore size, 142 mm diameter filter', '']	7
	puchcore sediment 14-16 cm	7
	33	7
	Chiseling in sterile whirlpak bags	7
	method S	6
	method H	6
	method HQ	6
	Pressurized sampler (PAVE)	6
	method Q	6
	For long line system	6
	Needle	6
	Granular sludge separated by isopycnic centrifugation	6
	0.22 um sterivex filter	6
	41	6
	Rumohr-type corer	6
	biopsy replicate	6
	sample removed by hand from plant root associated biofilm immersed in wastewater	6
	CSF collected from dogs following induction of general anesthesia	6
	device	6
	Tow-fish	6
	bricks from each stage were randomly selected from upper, middle, and lower locations in triplicates, which were then ground, mixed, and representative samples were collected for each Daqu by the quartering method	6
	cutting	6
	Needle/syringe	6
	43	6
	Dho-gaza	6
	in-line filter	6
	15	6
	42	6
	A sterile ladle was used to sample bioactive granular activated carbon from the uppermost 30 cm of a bioreactor	6
	sterile bottles	6
	Dip tube and syringe	6
	Fruits	6
	sterile spatula/tweezer	6
	Measuring cylinder	6
	Glass plate	6
	rumen cannula	6
	Sterile pipette	6
	6 L Plastic Container (Sterilized)	6
microbial mat_biofilm	Ruttner Sampler	6
	Trap 3	6
	trace metal clean system consisting of Teflon tubing connecting to an air bellows pump	6
	20 liter Niskin bottle	6
	21	6
	water filtering	6
	1 L acid washed bottle	6
	Extracting soil DNA from the rhizosphere and non-rhizosphere of Halocnemum strobilaceum in Ebinur Lake WetlandPCR amplification to obtain nifH gene	6
	Extracting soil DNA from the rhizosphere and non-rhizosphere of Kareliniacaspia in the Ebinur Lake WetlandPCR amplification to obtain nifH gene	6
	Extracting soil DNA from the rhizosphere and non-rhizosphere of Phragmites australis in the Ebinur Lake WetlandPCR amplification to obtain nifH gene	6
	Extraction of total DNA from environmental samples using the PowerSoil DNA Isolation Kit (MoBio) ,stored in -20 degree refrigerator	6
soil	Undisturbed core compost sample	6
	partial anesthesia	6
	autoclaved medium bottle	6
sediment	Vertical Piezometer Morpheus	6
	Rhizosphere soil samples were composite sample of root surface soil and soil around the roots. Soil adhering to roots was removed by shaking	6
	20-L bottles	6
	scoop net	6
	Rneasy Mini Kit	6
water	The water for the metagenomes was collected from below the boundary layer (in crevices and against the benthos) to avoid confounding problems with the water column. The sampling was conducted at the same time of day to help minimize diurnal effects. The water was collected from over ~20 m2 of reef using a modified bilge pump connected to low density polyethylene (LDPE) collapsible bags (19 l; Cole-Parmer, Vernon Hills, IL; Figure S1). 1) A large fraction containing mostly microbes, some small eukaryotes (such as dinoflagellates and protists), and a few VLPs, and 2) a small fraction containing mostly VLPs and some small microbes. To obtain these fractions the seawater was processed through a series of filters. The large eukaryotes were removed by filtering the entire sample through 100 m Nitex, into a barrel lined with a clean, high-density polyethylene bag. The filtrate was then concentrated to ~500 ml on a 100 kDa tangential flow filter (TFF), which captured the unicellular eukaryotes, microbes and VLPs (i.e., the water was removed). During the filtration, pressures were kept below 0.6 bar (10 psi) to ensure that the viruses were not destroyed. The concentrated sample was then passed through 0.45 m Sterivex filters (Millipore, Inc) using a 50 ml syringe. In this step, the large metagenomic fraction consisting of microbial cells was caught on the filter (microbiomes) and the filtrate was the small metagenomic fraction (viromes). All filtrations were performed on the research vessel, and the samples were stored for further processing in the laboratory at SDSU. The Sterivex filters were frozen at −80C. The 0.45 m filtrates (i.e., the virome) were extracted with chloroform to kill any residual cells (10% vol:vol; most viruses are resistant to chloroform) and stored at 4C.	6
	Rock removal	6
	Root nodules removed from plants	6
	5 L plastic container (Sterilized)	6
	Sterile 2L bottle	6
	17	6
	0.2 micrometer Sterivex filter	6
	obtained via drilling	6
	genomic DNA	6
	Ethonal Fix	6
	sterile polypropylene bottle	6
	16	6
	Each composite sample was obtained pooling and homogenising six individual soil cores sampled from the upper 0-30 cm, at intervals of ca. 2 m.	6
	Fish net	6
	carbonate precipitation (aragonite) was collected on a ceramic tile placed in water	6
	free dive	6
	18	6
	20	6
	Ekman-Birge bottom sampler	6
	frozen in liquid nitrogen after washing of roots with tap water	6
	batting paraffin technique	6
	Sterile Plastic Bag	6
	push cores	6
	ROV Jason II	6
	Carboy	6
host-associated	faecal swab	6
	pbs washed plants	6
	nasal swab	6
	AUV	6
	Calyx Core Drilling	6
	samples were collected from the root zone of sampling site. Each of the soil samples consisted of 1 kg soil collected from the top soil (0–15 cm depth) around an individual S. flavescens, using disposable equipment to avoid cross-contamination, and about 500g sub-samples were stored under airtight conditions at either 4°C (to evaluate mycorrhizal colonization and for analysis of soil physical and chemical properties) or −80°C (for subsequent RNA or DNA isolation).	6
	Random sampling	6
	19	6
	Biofilm scratched from surface with sterile scalpel	6
	Oragene DNA Collection Kit (OG-500)	6
	Samples obtained from the integrated euphotic zone with Van Dorn bottle	6
	Box Corer	6
	23	6
	Liquid nitrogen was snap frozen after sample collection and shipped on dry ice.	6
	Swinnex 0.22um filters	6
	spoon	6
	Planktonic	6
	Plastic Scoop	6
	Sterivex Filter	6
	Scuba	6
	Illumina_MiSeq	6
	Collected by dipping a 2L amber bottle into the surface of the river from shore	6
water	mat removed from cores	6
	Scraping of biofilm	6
	manual collecting	6
	plastic tubes pre-filled with Cary-Blair buffer	6
	Sterilized field tools (shovel, soil sampler)	6
	White trap	6
	collected mesh ingrowth bags of (Tonalite) rocks buried at 10cm	6
	Blood serum	6
	collection of dried feces	6
	sock swab	6
	manual collection using brush and tweezers	6
	1L sterile bottles	6
	Sample Simple Colleted	6
	Collected with submersible stainless steel pump passing directly through 0.2 micron filter into a carboy	6
	soil profile corer	6
soil	soil auger	6
	Culture bottle	6
	collecting beads	6
	24	6
	Collected into a 10L carboy filled with water passing through the Moses-Saunders Power Dam, consistent with water quality samples collected by the USGS on that day	6
	Scuba Diving	6
	Collected into a 10L carboy dipped below the surface at the middle of the river channel	6
	Coupon Biofilm	6
	Oral Swabs	6
	Innovaprep LVC	6
